dataset,victim,source_class,n_attacked,n_fwd_min_zero,pct_fwd_min_zero,pct_timing_eligible,pct_padding_eligible,pct_joint_eligible,pct_neither_eligible,pct_padding_eligible_relaxed_rule,n_padding_disabled_by_empty_packet,pct_p75_joint,pct_p75_timing_only,pct_p75_padding_only,pct_p75_no_primitive
cicids2017_distrinet,mlp,DoS,800,799,99.875,100.0,0.125,0.125,0.0,100.0,799,0.0,98.125,0.125,1.7500000000000002
cicids2017_distrinet,mlp,DDoS,800,800,100.0,100.0,0.0,0.0,0.0,100.0,800,0.0,96.0,0.0,4.0
cicids2017_distrinet,mlp,Recon,800,800,100.0,1.125,0.0,0.0,98.875,0.375,3,0.0,1.125,0.0,98.875
cicids2017_distrinet,mlp,BruteForce,800,800,100.0,100.0,0.0,0.0,0.0,100.0,800,0.0,100.0,0.0,0.0
cicids2017_distrinet,mlp,ALL,3200,3199,99.96875,75.28125,0.03125,0.03125,24.71875,75.09375,2402,0.0,73.8125,0.03125,26.156249999999996
cicids2017_distrinet,cnn,DoS,800,799,99.875,100.0,0.125,0.125,0.0,100.0,799,0.0,98.25,0.125,1.625
cicids2017_distrinet,cnn,DDoS,800,800,100.0,100.0,0.0,0.0,0.0,100.0,800,0.0,96.0,0.0,4.0
cicids2017_distrinet,cnn,Recon,800,800,100.0,1.0,0.0,0.0,99.0,0.25,2,0.0,1.0,0.0,99.0
cicids2017_distrinet,cnn,BruteForce,800,800,100.0,100.0,0.0,0.0,0.0,100.0,800,0.0,100.0,0.0,0.0
cicids2017_distrinet,cnn,ALL,3200,3199,99.96875,75.25,0.03125,0.03125,24.75,75.0625,2401,0.0,73.8125,0.03125,26.156249999999996
cicids2017_distrinet,ft_transformer,DoS,800,799,99.875,100.0,0.125,0.125,0.0,100.0,799,0.0,98.25,0.125,1.625
cicids2017_distrinet,ft_transformer,DDoS,800,800,100.0,100.0,0.0,0.0,0.0,100.0,800,0.0,96.0,0.0,4.0
cicids2017_distrinet,ft_transformer,Recon,800,800,100.0,1.125,0.0,0.0,98.875,0.375,3,0.0,1.125,0.0,98.875
cicids2017_distrinet,ft_transformer,BruteForce,800,800,100.0,100.0,0.0,0.0,0.0,100.0,800,0.0,100.0,0.0,0.0
cicids2017_distrinet,ft_transformer,ALL,3200,3199,99.96875,75.28125,0.03125,0.03125,24.71875,75.09375,2402,0.0,73.84375,0.03125,26.125
cicids2018_distrinet,mlp-s42,DoS,800,800,100.0,100.0,0.0,0.0,0.0,100.0,800,0.0,92.875,0.0,7.124999999999999
cicids2018_distrinet,mlp-s42,DDoS,800,799,99.875,100.0,0.125,0.125,0.0,100.0,799,0.0,94.875,0.0,5.125
cicids2018_distrinet,mlp-s42,Recon,800,789,98.625,11.125,1.375,0.375,87.875,7.000000000000001,45,0.0,11.125,1.0,87.875
cicids2018_distrinet,mlp-s42,BruteForce,800,800,100.0,100.0,0.0,0.0,0.0,100.0,800,0.0,100.0,0.0,0.0
cicids2018_distrinet,mlp-s42,ALL,3200,3188,99.625,77.78125,0.375,0.125,21.96875,76.75,2444,0.0,74.71875,0.25,25.03125
cicids2018_distrinet,cnn-s42,DoS,800,800,100.0,100.0,0.0,0.0,0.0,100.0,800,0.0,92.75,0.0,7.249999999999999
cicids2018_distrinet,cnn-s42,DDoS,800,799,99.875,100.0,0.125,0.125,0.0,100.0,799,0.0,94.875,0.0,5.125
cicids2018_distrinet,cnn-s42,Recon,800,789,98.625,11.125,1.375,0.375,87.875,7.000000000000001,45,0.0,11.125,1.0,87.875
cicids2018_distrinet,cnn-s42,BruteForce,800,800,100.0,100.0,0.0,0.0,0.0,100.0,800,0.0,100.0,0.0,0.0
cicids2018_distrinet,cnn-s42,ALL,3200,3188,99.625,77.78125,0.375,0.125,21.96875,76.75,2444,0.0,74.6875,0.25,25.0625
cicids2018_distrinet,ft_transformer-s42,DoS,800,800,100.0,100.0,0.0,0.0,0.0,100.0,800,0.0,92.875,0.0,7.124999999999999
cicids2018_distrinet,ft_transformer-s42,DDoS,800,799,99.875,100.0,0.125,0.125,0.0,100.0,799,0.0,94.875,0.0,5.125
cicids2018_distrinet,ft_transformer-s42,Recon,800,789,98.625,11.125,1.375,0.375,87.875,7.000000000000001,45,0.0,11.125,1.0,87.875
cicids2018_distrinet,ft_transformer-s42,BruteForce,800,800,100.0,100.0,0.0,0.0,0.0,100.0,800,0.0,100.0,0.0,0.0
cicids2018_distrinet,ft_transformer-s42,ALL,3200,3188,99.625,77.78125,0.375,0.125,21.96875,76.75,2444,0.0,74.71875,0.25,25.03125
