dataset,victim,source_class,seed,n_attempted,n_fwd_min_zero,n_padding_disabled,n_padding_disabled_by_empty_packet,n_padding_eligible,n_timing_eligible,n_attacked_timing_only,n_attacked_joint,n_attacked_padding_only,n_attacked_no_primitive,raw_successes,valid_successes,valid_timing_only_successes,valid_padding_only_successes,valid_joint_successes,valid_successes_involving_padding,valid_successes_on_timing_only_rows,raw_successes_filling_empty_packet,valid_successes_filling_empty_packet
cicids2017_distrinet,mlp,DoS,42,800,799,799,799,1,800,785,0,1,14,41,41,41,0,0,0,41,0,0
cicids2017_distrinet,mlp,DDoS,42,800,800,800,800,0,800,768,0,0,32,86,86,86,0,0,0,86,0,0
cicids2017_distrinet,mlp,Recon,42,800,800,800,3,0,9,9,0,0,791,0,0,0,0,0,0,0,0,0
cicids2017_distrinet,mlp,BruteForce,42,800,800,800,800,0,800,800,0,0,0,4,4,4,0,0,0,4,0,0
cicids2017_distrinet,mlp,ALL,42,3200,3199,3199,2402,1,2409,2362,0,1,837,131,131,131,0,0,0,131,0,0
cicids2017_distrinet,mlp,DoS,2024,800,799,799,799,1,800,785,0,1,14,41,41,41,0,0,0,41,0,0
cicids2017_distrinet,mlp,DDoS,2024,800,800,800,800,0,800,768,0,0,32,86,86,86,0,0,0,86,0,0
cicids2017_distrinet,mlp,Recon,2024,800,800,800,3,0,9,9,0,0,791,0,0,0,0,0,0,0,0,0
cicids2017_distrinet,mlp,BruteForce,2024,800,800,800,800,0,800,800,0,0,0,4,4,4,0,0,0,4,0,0
cicids2017_distrinet,mlp,ALL,2024,3200,3199,3199,2402,1,2409,2362,0,1,837,131,131,131,0,0,0,131,0,0
cicids2017_distrinet,mlp,DoS,2026,800,799,799,799,1,800,785,0,1,14,41,41,41,0,0,0,41,0,0
cicids2017_distrinet,mlp,DDoS,2026,800,800,800,800,0,800,768,0,0,32,86,86,86,0,0,0,86,0,0
cicids2017_distrinet,mlp,Recon,2026,800,800,800,3,0,9,9,0,0,791,0,0,0,0,0,0,0,0,0
cicids2017_distrinet,mlp,BruteForce,2026,800,800,800,800,0,800,800,0,0,0,4,4,4,0,0,0,4,0,0
cicids2017_distrinet,mlp,ALL,2026,3200,3199,3199,2402,1,2409,2362,0,1,837,131,131,131,0,0,0,131,0,0
cicids2017_distrinet,cnn,DoS,42,800,799,799,799,1,800,786,0,1,13,164,164,164,0,0,0,164,0,0
cicids2017_distrinet,cnn,DDoS,42,800,800,800,800,0,800,768,0,0,32,257,257,257,0,0,0,257,0,0
cicids2017_distrinet,cnn,Recon,42,800,800,800,2,0,8,8,0,0,792,3,3,3,0,0,0,3,0,0
cicids2017_distrinet,cnn,BruteForce,42,800,800,800,800,0,800,800,0,0,0,7,7,7,0,0,0,7,0,0
cicids2017_distrinet,cnn,ALL,42,3200,3199,3199,2401,1,2408,2362,0,1,837,431,431,431,0,0,0,431,0,0
cicids2017_distrinet,cnn,DoS,2024,800,799,799,799,1,800,786,0,1,13,164,164,164,0,0,0,164,0,0
cicids2017_distrinet,cnn,DDoS,2024,800,800,800,800,0,800,768,0,0,32,257,257,257,0,0,0,257,0,0
cicids2017_distrinet,cnn,Recon,2024,800,800,800,2,0,8,8,0,0,792,3,3,3,0,0,0,3,0,0
cicids2017_distrinet,cnn,BruteForce,2024,800,800,800,800,0,800,800,0,0,0,7,7,7,0,0,0,7,0,0
cicids2017_distrinet,cnn,ALL,2024,3200,3199,3199,2401,1,2408,2362,0,1,837,431,431,431,0,0,0,431,0,0
cicids2017_distrinet,cnn,DoS,2026,800,799,799,799,1,800,786,0,1,13,164,164,164,0,0,0,164,0,0
cicids2017_distrinet,cnn,DDoS,2026,800,800,800,800,0,800,768,0,0,32,257,257,257,0,0,0,257,0,0
cicids2017_distrinet,cnn,Recon,2026,800,800,800,2,0,8,8,0,0,792,3,3,3,0,0,0,3,0,0
cicids2017_distrinet,cnn,BruteForce,2026,800,800,800,800,0,800,800,0,0,0,7,7,7,0,0,0,7,0,0
cicids2017_distrinet,cnn,ALL,2026,3200,3199,3199,2401,1,2408,2362,0,1,837,431,431,431,0,0,0,431,0,0
cicids2017_distrinet,ft_transformer,DoS,42,800,799,799,799,1,800,786,0,1,13,1,1,1,0,0,0,1,0,0
cicids2017_distrinet,ft_transformer,DDoS,42,800,800,800,800,0,800,768,0,0,32,0,0,0,0,0,0,0,0,0
cicids2017_distrinet,ft_transformer,Recon,42,800,800,800,3,0,9,9,0,0,791,0,0,0,0,0,0,0,0,0
cicids2017_distrinet,ft_transformer,BruteForce,42,800,800,800,800,0,800,800,0,0,0,3,3,3,0,0,0,3,0,0
cicids2017_distrinet,ft_transformer,ALL,42,3200,3199,3199,2402,1,2409,2363,0,1,836,4,4,4,0,0,0,4,0,0
cicids2017_distrinet,ft_transformer,DoS,2024,800,799,799,799,1,800,786,0,1,13,1,1,1,0,0,0,1,0,0
cicids2017_distrinet,ft_transformer,DDoS,2024,800,800,800,800,0,800,768,0,0,32,0,0,0,0,0,0,0,0,0
cicids2017_distrinet,ft_transformer,Recon,2024,800,800,800,3,0,9,9,0,0,791,0,0,0,0,0,0,0,0,0
cicids2017_distrinet,ft_transformer,BruteForce,2024,800,800,800,800,0,800,800,0,0,0,3,3,3,0,0,0,3,0,0
cicids2017_distrinet,ft_transformer,ALL,2024,3200,3199,3199,2402,1,2409,2363,0,1,836,4,4,4,0,0,0,4,0,0
cicids2017_distrinet,ft_transformer,DoS,2026,800,799,799,799,1,800,786,0,1,13,1,1,1,0,0,0,1,0,0
cicids2017_distrinet,ft_transformer,DDoS,2026,800,800,800,800,0,800,768,0,0,32,0,0,0,0,0,0,0,0,0
cicids2017_distrinet,ft_transformer,Recon,2026,800,800,800,3,0,9,9,0,0,791,0,0,0,0,0,0,0,0,0
cicids2017_distrinet,ft_transformer,BruteForce,2026,800,800,800,800,0,800,800,0,0,0,3,3,3,0,0,0,3,0,0
cicids2017_distrinet,ft_transformer,ALL,2026,3200,3199,3199,2402,1,2409,2363,0,1,836,4,4,4,0,0,0,4,0,0
cicids2018_distrinet,mlp-s42,DoS,42,800,800,800,800,0,800,743,0,0,57,0,0,0,0,0,0,0,0,0
cicids2018_distrinet,mlp-s42,DDoS,42,800,799,799,799,1,800,759,0,0,41,60,60,60,0,0,0,60,0,0
cicids2018_distrinet,mlp-s42,Recon,42,800,789,789,45,11,89,89,0,8,703,21,21,21,0,0,0,21,0,0
cicids2018_distrinet,mlp-s42,BruteForce,42,800,800,800,800,0,800,800,0,0,0,0,0,0,0,0,0,0,0,0
cicids2018_distrinet,mlp-s42,ALL,42,3200,3188,3188,2444,12,2489,2391,0,8,801,81,81,81,0,0,0,81,0,0
cicids2018_distrinet,mlp-s42,DoS,2024,800,800,800,800,0,800,743,0,0,57,0,0,0,0,0,0,0,0,0
cicids2018_distrinet,mlp-s42,DDoS,2024,800,799,799,799,1,800,759,0,0,41,60,60,60,0,0,0,60,0,0
cicids2018_distrinet,mlp-s42,Recon,2024,800,789,789,45,11,89,89,0,8,703,21,21,21,0,0,0,21,0,0
cicids2018_distrinet,mlp-s42,BruteForce,2024,800,800,800,800,0,800,800,0,0,0,0,0,0,0,0,0,0,0,0
cicids2018_distrinet,mlp-s42,ALL,2024,3200,3188,3188,2444,12,2489,2391,0,8,801,81,81,81,0,0,0,81,0,0
cicids2018_distrinet,mlp-s42,DoS,2026,800,800,800,800,0,800,743,0,0,57,0,0,0,0,0,0,0,0,0
cicids2018_distrinet,mlp-s42,DDoS,2026,800,799,799,799,1,800,759,0,0,41,60,60,60,0,0,0,60,0,0
cicids2018_distrinet,mlp-s42,Recon,2026,800,789,789,45,11,89,89,0,8,703,21,21,21,0,0,0,21,0,0
cicids2018_distrinet,mlp-s42,BruteForce,2026,800,800,800,800,0,800,800,0,0,0,0,0,0,0,0,0,0,0,0
cicids2018_distrinet,mlp-s42,ALL,2026,3200,3188,3188,2444,12,2489,2391,0,8,801,81,81,81,0,0,0,81,0,0
cicids2018_distrinet,cnn-s42,DoS,42,800,800,800,800,0,800,742,0,0,58,0,0,0,0,0,0,0,0,0
cicids2018_distrinet,cnn-s42,DDoS,42,800,799,799,799,1,800,759,0,0,41,37,37,37,0,0,0,37,0,0
cicids2018_distrinet,cnn-s42,Recon,42,800,789,789,45,11,89,89,0,8,703,0,0,0,0,0,0,0,0,0
cicids2018_distrinet,cnn-s42,BruteForce,42,800,800,800,800,0,800,800,0,0,0,0,0,0,0,0,0,0,0,0
cicids2018_distrinet,cnn-s42,ALL,42,3200,3188,3188,2444,12,2489,2390,0,8,802,37,37,37,0,0,0,37,0,0
cicids2018_distrinet,cnn-s42,DoS,2024,800,800,800,800,0,800,742,0,0,58,0,0,0,0,0,0,0,0,0
cicids2018_distrinet,cnn-s42,DDoS,2024,800,799,799,799,1,800,759,0,0,41,37,37,37,0,0,0,37,0,0
cicids2018_distrinet,cnn-s42,Recon,2024,800,789,789,45,11,89,89,0,8,703,0,0,0,0,0,0,0,0,0
cicids2018_distrinet,cnn-s42,BruteForce,2024,800,800,800,800,0,800,800,0,0,0,0,0,0,0,0,0,0,0,0
cicids2018_distrinet,cnn-s42,ALL,2024,3200,3188,3188,2444,12,2489,2390,0,8,802,37,37,37,0,0,0,37,0,0
cicids2018_distrinet,cnn-s42,DoS,2026,800,800,800,800,0,800,742,0,0,58,0,0,0,0,0,0,0,0,0
cicids2018_distrinet,cnn-s42,DDoS,2026,800,799,799,799,1,800,759,0,0,41,37,37,37,0,0,0,37,0,0
cicids2018_distrinet,cnn-s42,Recon,2026,800,789,789,45,11,89,89,0,8,703,0,0,0,0,0,0,0,0,0
cicids2018_distrinet,cnn-s42,BruteForce,2026,800,800,800,800,0,800,800,0,0,0,0,0,0,0,0,0,0,0,0
cicids2018_distrinet,cnn-s42,ALL,2026,3200,3188,3188,2444,12,2489,2390,0,8,802,37,37,37,0,0,0,37,0,0
cicids2018_distrinet,ft_transformer-s42,DoS,42,800,800,800,800,0,800,743,0,0,57,0,0,0,0,0,0,0,0,0
cicids2018_distrinet,ft_transformer-s42,DDoS,42,800,799,799,799,1,800,759,0,0,41,0,0,0,0,0,0,0,0,0
cicids2018_distrinet,ft_transformer-s42,Recon,42,800,789,789,45,11,89,89,0,8,703,0,0,0,0,0,0,0,0,0
cicids2018_distrinet,ft_transformer-s42,BruteForce,42,800,800,800,800,0,800,800,0,0,0,0,0,0,0,0,0,0,0,0
cicids2018_distrinet,ft_transformer-s42,ALL,42,3200,3188,3188,2444,12,2489,2391,0,8,801,0,0,0,0,0,0,0,0,0
cicids2018_distrinet,ft_transformer-s42,DoS,2024,800,800,800,800,0,800,743,0,0,57,0,0,0,0,0,0,0,0,0
cicids2018_distrinet,ft_transformer-s42,DDoS,2024,800,799,799,799,1,800,759,0,0,41,0,0,0,0,0,0,0,0,0
cicids2018_distrinet,ft_transformer-s42,Recon,2024,800,789,789,45,11,89,89,0,8,703,0,0,0,0,0,0,0,0,0
cicids2018_distrinet,ft_transformer-s42,BruteForce,2024,800,800,800,800,0,800,800,0,0,0,0,0,0,0,0,0,0,0,0
cicids2018_distrinet,ft_transformer-s42,ALL,2024,3200,3188,3188,2444,12,2489,2391,0,8,801,0,0,0,0,0,0,0,0,0
cicids2018_distrinet,ft_transformer-s42,DoS,2026,800,800,800,800,0,800,743,0,0,57,0,0,0,0,0,0,0,0,0
cicids2018_distrinet,ft_transformer-s42,DDoS,2026,800,799,799,799,1,800,759,0,0,41,0,0,0,0,0,0,0,0,0
cicids2018_distrinet,ft_transformer-s42,Recon,2026,800,789,789,45,11,89,89,0,8,703,0,0,0,0,0,0,0,0,0
cicids2018_distrinet,ft_transformer-s42,BruteForce,2026,800,800,800,800,0,800,800,0,0,0,0,0,0,0,0,0,0,0,0
cicids2018_distrinet,ft_transformer-s42,ALL,2026,3200,3188,3188,2444,12,2489,2391,0,8,801,0,0,0,0,0,0,0,0,0
