dataset,victim,source_class,mode,method,n_attempted,raw_asr_mean,raw_asr_sd,valid_asr_mean,valid_asr_sd,valid_asr_seed42,valid_asr_seed2024,valid_asr_seed2026,n_padding_eligible,valid_asr_on_padding_eligible_mean,valid_asr_on_padding_eligible_sd,valid_asr_on_padding_eligible_seed42,valid_asr_on_padding_eligible_seed2024,valid_asr_on_padding_eligible_seed2026,valid_successes_mean
cicids2017_distrinet,mlp,DoS,joint,"PrimAttack (Prim-PGD, p75)",800,0.05125,0.0,0.05125,0.0,0.05125,0.05125,0.05125,1,0.0,0.0,0.0,0.0,0.0,41.0
cicids2017_distrinet,mlp,DDoS,joint,"PrimAttack (Prim-PGD, p75)",800,0.1075,0.0,0.1075,0.0,0.1075,0.1075,0.1075,0,,,,,,86.0
cicids2017_distrinet,mlp,Recon,joint,"PrimAttack (Prim-PGD, p75)",800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0
cicids2017_distrinet,mlp,BruteForce,joint,"PrimAttack (Prim-PGD, p75)",800,0.005,0.0,0.005,0.0,0.005,0.005,0.005,0,,,,,,4.0
cicids2017_distrinet,mlp,ALL,joint,"PrimAttack (Prim-PGD, p75)",3200,0.0409375,0.0,0.0409375,0.0,0.0409375,0.0409375,0.0409375,1,0.0,0.0,0.0,0.0,0.0,131.0
cicids2017_distrinet,cnn,DoS,joint,"PrimAttack (Prim-PGD, p75)",800,0.205,0.0,0.205,0.0,0.205,0.205,0.205,1,0.0,0.0,0.0,0.0,0.0,164.0
cicids2017_distrinet,cnn,DDoS,joint,"PrimAttack (Prim-PGD, p75)",800,0.32125,0.0,0.32125,0.0,0.32125,0.32125,0.32125,0,,,,,,257.0
cicids2017_distrinet,cnn,Recon,joint,"PrimAttack (Prim-PGD, p75)",800,0.00375,0.0,0.00375,0.0,0.00375,0.00375,0.00375,0,,,,,,3.0
cicids2017_distrinet,cnn,BruteForce,joint,"PrimAttack (Prim-PGD, p75)",800,0.00875,0.0,0.00875,0.0,0.00875,0.00875,0.00875,0,,,,,,7.0
cicids2017_distrinet,cnn,ALL,joint,"PrimAttack (Prim-PGD, p75)",3200,0.1346875,0.0,0.1346875,0.0,0.1346875,0.1346875,0.1346875,1,0.0,0.0,0.0,0.0,0.0,431.0
cicids2017_distrinet,ft_transformer,DoS,joint,"PrimAttack (Prim-PGD, p75)",800,0.00125,0.0,0.00125,0.0,0.00125,0.00125,0.00125,1,0.0,0.0,0.0,0.0,0.0,1.0
cicids2017_distrinet,ft_transformer,DDoS,joint,"PrimAttack (Prim-PGD, p75)",800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0
cicids2017_distrinet,ft_transformer,Recon,joint,"PrimAttack (Prim-PGD, p75)",800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0
cicids2017_distrinet,ft_transformer,BruteForce,joint,"PrimAttack (Prim-PGD, p75)",800,0.00375,0.0,0.00375,0.0,0.00375,0.00375,0.00375,0,,,,,,3.0
cicids2017_distrinet,ft_transformer,ALL,joint,"PrimAttack (Prim-PGD, p75)",3200,0.00125,0.0,0.00125,0.0,0.00125,0.00125,0.00125,1,0.0,0.0,0.0,0.0,0.0,4.0
cicids2018_distrinet,mlp-s42,DoS,joint,"PrimAttack (Prim-PGD, p75)",800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0
cicids2018_distrinet,mlp-s42,DDoS,joint,"PrimAttack (Prim-PGD, p75)",800,0.075,0.0,0.075,0.0,0.075,0.075,0.075,1,0.0,0.0,0.0,0.0,0.0,60.0
cicids2018_distrinet,mlp-s42,Recon,joint,"PrimAttack (Prim-PGD, p75)",800,0.02625,0.0,0.02625,0.0,0.02625,0.02625,0.02625,11,0.0,0.0,0.0,0.0,0.0,21.0
cicids2018_distrinet,mlp-s42,BruteForce,joint,"PrimAttack (Prim-PGD, p75)",800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0
cicids2018_distrinet,mlp-s42,ALL,joint,"PrimAttack (Prim-PGD, p75)",3200,0.0253125,0.0,0.0253125,0.0,0.0253125,0.0253125,0.0253125,12,0.0,0.0,0.0,0.0,0.0,81.0
cicids2018_distrinet,cnn-s42,DoS,joint,"PrimAttack (Prim-PGD, p75)",800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0.0
cicids2018_distrinet,cnn-s42,DDoS,joint,"PrimAttack (Prim-PGD, p75)",800,0.04624999999999999,8.498374721940739e-18,0.04624999999999999,8.498374721940739e-18,0.04625,0.04625,0.04625,1,0.0,0.0,0.0,0.0,0.0,37.0
