dataset,victim,seed,n_attempted,objective,relaxed_optimizer,capability_aware_optimizer,relaxed_valid_successes,relaxed_valid_asr,relaxed_postfilter_valid_successes,relaxed_postfilter_valid_asr,new_valid_successes,new_valid_asr,abs_diff_pp_new_minus_relaxed,rel_diff_new_vs_relaxed,timing_recovery_successes,timing_recovery_pp,relaxed_timing_only_valid_successes,new_timing_only_valid_successes,relaxed_padding_valid_successes,new_padding_valid_successes,relaxed_valid_successes_filling_empty_packet,new_valid_successes_filling_empty_packet,relaxed_padding_headroom_rate,new_padding_eligibility_rate,new_padding_headroom_rate
cicids2017_distrinet,mlp,42,3200,untargeted,hybrid,pgd,354,0.110625,5,0.0015625,131,0.0409375,-6.96875,-0.6299435028248588,126,3.9375,5,131,349,0,349,0,0.750625,0.0003125,0.0003125
cicids2017_distrinet,mlp,2024,3200,untargeted,hybrid,pgd,354,0.110625,4,0.00125,131,0.0409375,-6.96875,-0.6299435028248588,127,3.96875,4,131,350,0,350,0,0.750625,0.0003125,0.0003125
cicids2017_distrinet,mlp,2026,3200,untargeted,hybrid,pgd,354,0.110625,5,0.0015625,131,0.0409375,-6.96875,-0.6299435028248588,126,3.9375,5,131,349,0,349,0,0.750625,0.0003125,0.0003125
cicids2017_distrinet,cnn,42,3200,untargeted,hybrid,pgd,1174,0.366875,74,0.023125,431,0.1346875,-23.218750000000004,-0.6328790459965928,357,11.156249999999998,74,431,1100,0,1100,0,0.7503125,0.0003125,0.0003125
cicids2017_distrinet,cnn,2024,3200,untargeted,hybrid,pgd,1172,0.36625,65,0.0203125,431,0.1346875,-23.156250000000004,-0.6322525597269625,366,11.437499999999998,65,431,1107,0,1107,0,0.7503125,0.0003125,0.0003125
cicids2017_distrinet,cnn,2026,3200,untargeted,hybrid,pgd,1174,0.366875,83,0.0259375,431,0.1346875,-23.218750000000004,-0.6328790459965928,348,10.874999999999998,83,431,1091,0,1091,0,0.7503125,0.0003125,0.0003125
cicids2017_distrinet,ft_transformer,42,3200,untargeted,hybrid,pgd,16,0.005,1,0.0003125,4,0.00125,-0.375,-0.75,3,0.09375,1,4,15,0,15,0,0.750625,0.0003125,0.0003125
cicids2017_distrinet,ft_transformer,2024,3200,untargeted,hybrid,pgd,16,0.005,1,0.0003125,4,0.00125,-0.375,-0.75,3,0.09375,1,4,15,0,15,0,0.750625,0.0003125,0.0003125
cicids2017_distrinet,ft_transformer,2026,3200,untargeted,hybrid,pgd,16,0.005,1,0.0003125,4,0.00125,-0.375,-0.75,3,0.09375,1,4,15,0,15,0,0.750625,0.0003125,0.0003125
cicids2018_distrinet,mlp-s42,42,3200,untargeted,hybrid,pgd,6,0.001875,6,0.001875,81,0.0253125,2.34375,12.5,75,2.34375,6,81,0,0,0,0,0.7640625,0.00375,0.0025
cicids2018_distrinet,mlp-s42,2024,3200,untargeted,hybrid,pgd,7,0.0021875,7,0.0021875,81,0.0253125,2.3125,10.571428571428571,74,2.3125,7,81,0,0,0,0,0.7640625,0.00375,0.0025
cicids2018_distrinet,mlp-s42,2026,3200,untargeted,hybrid,pgd,5,0.0015625,5,0.0015625,81,0.0253125,2.375,15.2,76,2.375,5,81,0,0,0,0,0.7640625,0.00375,0.0025
cicids2018_distrinet,cnn-s42,42,3200,untargeted,hybrid,pgd,1,0.0003125,1,0.0003125,37,0.0115625,1.125,36.0,36,1.125,1,37,0,0,0,0,0.764375,0.00375,0.0025
cicids2018_distrinet,cnn-s42,2024,3200,untargeted,hybrid,pgd,1,0.0003125,1,0.0003125,37,0.0115625,1.125,36.0,36,1.125,1,37,0,0,0,0,0.764375,0.00375,0.0025
cicids2018_distrinet,cnn-s42,2026,3200,untargeted,hybrid,pgd,1,0.0003125,1,0.0003125,37,0.0115625,1.125,36.0,36,1.125,1,37,0,0,0,0,0.764375,0.00375,0.0025
cicids2018_distrinet,ft_transformer-s42,42,3200,untargeted,hybrid,pgd,0,0.0,0,0.0,0,0.0,0.0,,0,0.0,0,0,0,0,0,0,0.7640625,0.00375,0.0025
cicids2018_distrinet,ft_transformer-s42,2024,3200,untargeted,hybrid,pgd,0,0.0,0,0.0,0,0.0,0.0,,0,0.0,0,0,0,0,0,0,0.7640625,0.00375,0.0025
cicids2018_distrinet,ft_transformer-s42,2026,3200,untargeted,hybrid,pgd,0,0.0,0,0.0,0,0.0,0.0,,0,0.0,0,0,0,0,0,0,0.7640625,0.00375,0.0025
