dataset,victim,seed,n_attempted,objective,relaxed_optimizer,capability_aware_optimizer,relaxed_valid_successes,relaxed_valid_asr,relaxed_postfilter_valid_successes,relaxed_postfilter_valid_asr,new_valid_successes,new_valid_asr,abs_diff_pp_new_minus_relaxed,rel_diff_new_vs_relaxed,timing_recovery_successes,timing_recovery_pp,relaxed_timing_only_valid_successes,new_timing_only_valid_successes,relaxed_padding_valid_successes,new_padding_valid_successes,relaxed_valid_successes_filling_empty_packet,new_valid_successes_filling_empty_packet,relaxed_padding_headroom_rate,new_padding_eligibility_rate,new_padding_headroom_rate
cicids2017_distrinet,mlp,42,3200,targeted,hybrid,hybrid,354,0.110625,5,0.0015625,131,0.0409375,-6.96875,-0.6299435028248588,126,3.9375,5,131,349,0,349,0,0.750625,0.0003125,0.0003125
cicids2017_distrinet,mlp,2024,3200,targeted,hybrid,hybrid,354,0.110625,4,0.00125,131,0.0409375,-6.96875,-0.6299435028248588,127,3.96875,4,131,350,0,350,0,0.750625,0.0003125,0.0003125
cicids2017_distrinet,mlp,2026,3200,targeted,hybrid,hybrid,354,0.110625,5,0.0015625,131,0.0409375,-6.96875,-0.6299435028248588,126,3.9375,5,131,349,0,349,0,0.750625,0.0003125,0.0003125
cicids2017_distrinet,cnn,42,3200,targeted,hybrid,hybrid,1157,0.3615625,69,0.0215625,424,0.1325,-22.90625,-0.6335350043215212,355,11.09375,69,424,1088,0,1088,0,0.7503125,0.0003125,0.0003125
cicids2017_distrinet,cnn,2024,3200,targeted,hybrid,hybrid,1156,0.36125,59,0.0184375,424,0.1325,-22.875,-0.6332179930795848,365,11.406250000000002,59,424,1097,0,1097,0,0.7503125,0.0003125,0.0003125
cicids2017_distrinet,cnn,2026,3200,targeted,hybrid,hybrid,1157,0.3615625,77,0.0240625,424,0.1325,-22.90625,-0.6335350043215212,347,10.84375,77,424,1080,0,1080,0,0.7503125,0.0003125,0.0003125
cicids2017_distrinet,ft_transformer,42,3200,targeted,hybrid,hybrid,14,0.004375,1,0.0003125,4,0.00125,-0.3125,-0.7142857142857143,3,0.09375,1,4,13,0,13,0,0.750625,0.0003125,0.0003125
cicids2017_distrinet,ft_transformer,2024,3200,targeted,hybrid,hybrid,14,0.004375,1,0.0003125,4,0.00125,-0.3125,-0.7142857142857143,3,0.09375,1,4,13,0,13,0,0.750625,0.0003125,0.0003125
cicids2017_distrinet,ft_transformer,2026,3200,targeted,hybrid,hybrid,14,0.004375,1,0.0003125,4,0.00125,-0.3125,-0.7142857142857143,3,0.09375,1,4,13,0,13,0,0.750625,0.0003125,0.0003125
cicids2018_distrinet,mlp-s42,42,3200,targeted,hybrid,hybrid,10,0.003125,10,0.003125,25,0.0078125,0.46875,1.4999999999999998,15,0.46875,10,25,0,0,0,0,0.7640625,0.00375,0.0025
cicids2018_distrinet,mlp-s42,2024,3200,targeted,hybrid,hybrid,10,0.003125,10,0.003125,25,0.0078125,0.46875,1.4999999999999998,15,0.46875,10,25,0,0,0,0,0.7640625,0.00375,0.0025
cicids2018_distrinet,mlp-s42,2026,3200,targeted,hybrid,hybrid,8,0.0025,8,0.0025,25,0.0078125,0.53125,2.1249999999999996,17,0.53125,8,25,0,0,0,0,0.7640625,0.00375,0.0025
cicids2018_distrinet,cnn-s42,42,3200,targeted,hybrid,hybrid,0,0.0,0,0.0,0,0.0,0.0,,0,0.0,0,0,0,0,0,0,0.764375,0.00375,0.0025
cicids2018_distrinet,cnn-s42,2024,3200,targeted,hybrid,hybrid,0,0.0,0,0.0,0,0.0,0.0,,0,0.0,0,0,0,0,0,0,0.764375,0.00375,0.0025
cicids2018_distrinet,cnn-s42,2026,3200,targeted,hybrid,hybrid,0,0.0,0,0.0,0,0.0,0.0,,0,0.0,0,0,0,0,0,0,0.764375,0.00375,0.0025
cicids2018_distrinet,ft_transformer-s42,42,3200,targeted,hybrid,hybrid,0,0.0,0,0.0,0,0.0,0.0,,0,0.0,0,0,0,0,0,0,0.7640625,0.00375,0.0025
cicids2018_distrinet,ft_transformer-s42,2024,3200,targeted,hybrid,hybrid,0,0.0,0,0.0,0,0.0,0.0,,0,0.0,0,0,0,0,0,0,0.7640625,0.00375,0.0025
cicids2018_distrinet,ft_transformer-s42,2026,3200,targeted,hybrid,hybrid,0,0.0,0,0.0,0,0.0,0.0,,0,0.0,0,0,0,0,0,0,0.7640625,0.00375,0.0025
cicids2017_distrinet,mlp,42,3200,targeted,pgd,pgd,354,0.110625,5,0.0015625,131,0.0409375,-6.96875,-0.6299435028248588,126,3.9375,5,131,349,0,349,0,0.750625,0.0003125,0.0003125
cicids2017_distrinet,mlp,2024,3200,targeted,pgd,pgd,354,0.110625,6,0.001875,131,0.0409375,-6.96875,-0.6299435028248588,125,3.90625,6,131,348,0,348,0,0.750625,0.0003125,0.0003125
cicids2017_distrinet,mlp,2026,3200,targeted,pgd,pgd,354,0.110625,6,0.001875,131,0.0409375,-6.96875,-0.6299435028248588,125,3.90625,6,131,348,0,348,0,0.750625,0.0003125,0.0003125
cicids2017_distrinet,cnn,42,3200,targeted,pgd,pgd,1153,0.3603125,102,0.031875,424,0.1325,-22.781249999999996,-0.632263660017346,322,10.0625,102,424,1051,0,1051,0,0.7503125,0.0003125,0.0003125
cicids2017_distrinet,cnn,2024,3200,targeted,pgd,pgd,1160,0.3625,108,0.03375,424,0.1325,-23.0,-0.6344827586206896,316,9.875,108,424,1052,0,1052,0,0.7503125,0.0003125,0.0003125
cicids2017_distrinet,cnn,2026,3200,targeted,pgd,pgd,1153,0.3603125,113,0.0353125,424,0.1325,-22.781249999999996,-0.632263660017346,311,9.718750000000002,113,424,1040,0,1040,0,0.7503125,0.0003125,0.0003125
cicids2017_distrinet,ft_transformer,42,3200,targeted,pgd,pgd,14,0.004375,1,0.0003125,4,0.00125,-0.3125,-0.7142857142857143,3,0.09375,1,4,13,0,13,0,0.750625,0.0003125,0.0003125
cicids2017_distrinet,ft_transformer,2024,3200,targeted,pgd,pgd,14,0.004375,1,0.0003125,4,0.00125,-0.3125,-0.7142857142857143,3,0.09375,1,4,13,0,13,0,0.750625,0.0003125,0.0003125
cicids2017_distrinet,ft_transformer,2026,3200,targeted,pgd,pgd,14,0.004375,1,0.0003125,4,0.00125,-0.3125,-0.7142857142857143,3,0.09375,1,4,13,0,13,0,0.750625,0.0003125,0.0003125
cicids2018_distrinet,mlp-s42,42,3200,targeted,pgd,pgd,9,0.0028125,9,0.0028125,25,0.0078125,0.5,1.777777777777778,16,0.5,9,25,0,0,0,0,0.7640625,0.00375,0.0025
cicids2018_distrinet,mlp-s42,2024,3200,targeted,pgd,pgd,8,0.0025,8,0.0025,25,0.0078125,0.53125,2.1249999999999996,17,0.53125,8,25,0,0,0,0,0.7640625,0.00375,0.0025
cicids2018_distrinet,mlp-s42,2026,3200,targeted,pgd,pgd,8,0.0025,8,0.0025,25,0.0078125,0.53125,2.1249999999999996,17,0.53125,8,25,0,0,0,0,0.7640625,0.00375,0.0025
cicids2018_distrinet,cnn-s42,42,3200,targeted,pgd,pgd,0,0.0,0,0.0,0,0.0,0.0,,0,0.0,0,0,0,0,0,0,0.764375,0.00375,0.0025
cicids2018_distrinet,cnn-s42,2024,3200,targeted,pgd,pgd,0,0.0,0,0.0,0,0.0,0.0,,0,0.0,0,0,0,0,0,0,0.764375,0.00375,0.0025
cicids2018_distrinet,cnn-s42,2026,3200,targeted,pgd,pgd,0,0.0,0,0.0,0,0.0,0.0,,0,0.0,0,0,0,0,0,0,0.764375,0.00375,0.0025
cicids2018_distrinet,ft_transformer-s42,42,3200,targeted,pgd,pgd,0,0.0,0,0.0,0,0.0,0.0,,0,0.0,0,0,0,0,0,0,0.7640625,0.00375,0.0025
cicids2018_distrinet,ft_transformer-s42,2024,3200,targeted,pgd,pgd,0,0.0,0,0.0,0,0.0,0.0,,0,0.0,0,0,0,0,0,0,0.7640625,0.00375,0.0025
cicids2018_distrinet,ft_transformer-s42,2026,3200,targeted,pgd,pgd,0,0.0,0,0.0,0,0.0,0.0,,0,0.0,0,0,0,0,0,0,0.7640625,0.00375,0.0025
cicids2017_distrinet,mlp,42,3200,targeted,cw,cw,352,0.11,104,0.0325,131,0.0409375,-6.90625,-0.6278409090909091,27,0.84375,104,131,248,0,248,0,0.750625,0.0003125,0.0003125
cicids2017_distrinet,mlp,2024,3200,targeted,cw,cw,352,0.11,104,0.0325,131,0.0409375,-6.90625,-0.6278409090909091,27,0.84375,104,131,248,0,248,0,0.750625,0.0003125,0.0003125
cicids2017_distrinet,mlp,2026,3200,targeted,cw,cw,352,0.11,104,0.0325,131,0.0409375,-6.90625,-0.6278409090909091,27,0.84375,104,131,248,0,248,0,0.750625,0.0003125,0.0003125
cicids2017_distrinet,cnn,42,3200,targeted,cw,cw,458,0.143125,127,0.0396875,128,0.04,-10.3125,-0.7205240174672488,1,0.03125000000000003,127,128,331,0,331,0,0.7503125,0.0003125,0.0003125
