dataset,victim,method,seed,n_attempted,raw_successes,raw_successes_filling_empty_packet,raw_successes_violating_rule,valid_successes,valid_successes_without_rule,valid_successes_lost_only_to_rule,valid_asr,valid_asr_without_rule,delta_pp
cicids2017_distrinet,mlp,"PrimAttack (Prim-PGD, p75)",42,3200,131,0,0,131,131,0,0.0409375,0.0409375,0.0
cicids2017_distrinet,mlp,"PrimAttack (Prim-PGD, p75)",2024,3200,131,0,0,131,131,0,0.0409375,0.0409375,0.0
cicids2017_distrinet,mlp,"PrimAttack (Prim-PGD, p75)",2026,3200,131,0,0,131,131,0,0.0409375,0.0409375,0.0
cicids2017_distrinet,cnn,"PrimAttack (Prim-PGD, p75)",42,3200,431,0,0,431,431,0,0.1346875,0.1346875,0.0
cicids2017_distrinet,cnn,"PrimAttack (Prim-PGD, p75)",2024,3200,431,0,0,431,431,0,0.1346875,0.1346875,0.0
cicids2017_distrinet,cnn,"PrimAttack (Prim-PGD, p75)",2026,3200,431,0,0,431,431,0,0.1346875,0.1346875,0.0
cicids2017_distrinet,ft_transformer,"PrimAttack (Prim-PGD, p75)",42,3200,4,0,0,4,4,0,0.00125,0.00125,0.0
cicids2017_distrinet,ft_transformer,"PrimAttack (Prim-PGD, p75)",2024,3200,4,0,0,4,4,0,0.00125,0.00125,0.0
cicids2017_distrinet,ft_transformer,"PrimAttack (Prim-PGD, p75)",2026,3200,4,0,0,4,4,0,0.00125,0.00125,0.0
cicids2018_distrinet,mlp-s42,"PrimAttack (Prim-PGD, p75)",42,3200,81,0,0,81,81,0,0.0253125,0.0253125,0.0
cicids2018_distrinet,mlp-s42,"PrimAttack (Prim-PGD, p75)",2024,3200,81,0,0,81,81,0,0.0253125,0.0253125,0.0
cicids2018_distrinet,mlp-s42,"PrimAttack (Prim-PGD, p75)",2026,3200,81,0,0,81,81,0,0.0253125,0.0253125,0.0
cicids2018_distrinet,cnn-s42,"PrimAttack (Prim-PGD, p75)",42,3200,37,0,0,37,37,0,0.0115625,0.0115625,0.0
cicids2018_distrinet,cnn-s42,"PrimAttack (Prim-PGD, p75)",2024,3200,37,0,0,37,37,0,0.0115625,0.0115625,0.0
cicids2018_distrinet,cnn-s42,"PrimAttack (Prim-PGD, p75)",2026,3200,37,0,0,37,37,0,0.0115625,0.0115625,0.0
cicids2018_distrinet,ft_transformer-s42,"PrimAttack (Prim-PGD, p75)",42,3200,0,0,0,0,0,0,0.0,0.0,0.0
cicids2018_distrinet,ft_transformer-s42,"PrimAttack (Prim-PGD, p75)",2024,3200,0,0,0,0,0,0,0.0,0.0,0.0
cicids2018_distrinet,ft_transformer-s42,"PrimAttack (Prim-PGD, p75)",2026,3200,0,0,0,0,0,0,0.0,0.0,0.0
cicids2017_distrinet,mlp,PGD,42,3200,3200,3165,3199,0,0,0,0.0,0.0,0.0
cicids2017_distrinet,mlp,PGD,2024,3200,3200,3159,3199,0,0,0,0.0,0.0,0.0
cicids2017_distrinet,mlp,PGD,2026,3200,3200,3158,3199,0,0,0,0.0,0.0,0.0
cicids2017_distrinet,cnn,PGD,42,3200,3079,2003,3078,0,0,0,0.0,0.0,0.0
cicids2017_distrinet,cnn,PGD,2024,3200,3076,1933,3075,0,0,0,0.0,0.0,0.0
cicids2017_distrinet,cnn,PGD,2026,3200,3073,1979,3072,0,0,0,0.0,0.0,0.0
cicids2017_distrinet,ft_transformer,PGD,42,3200,3115,2261,3114,0,0,0,0.0,0.0,0.0
cicids2017_distrinet,ft_transformer,PGD,2024,3200,3125,2211,3124,0,0,0,0.0,0.0,0.0
cicids2017_distrinet,ft_transformer,PGD,2026,3200,3107,2283,3106,0,0,0,0.0,0.0,0.0
cicids2018_distrinet,mlp-s42,PGD,42,3200,3019,600,3000,0,0,0,0.0,0.0,0.0
cicids2018_distrinet,mlp-s42,PGD,2024,3200,3011,578,2992,0,0,0,0.0,0.0,0.0
cicids2018_distrinet,mlp-s42,PGD,2026,3200,3027,580,2998,0,0,0,0.0,0.0,0.0
cicids2018_distrinet,cnn-s42,PGD,42,3200,3191,2207,3177,0,0,0,0.0,0.0,0.0
cicids2018_distrinet,cnn-s42,PGD,2024,3200,3190,2177,3177,0,0,0,0.0,0.0,0.0
cicids2018_distrinet,cnn-s42,PGD,2026,3200,3190,2198,3175,0,0,0,0.0,0.0,0.0
cicids2018_distrinet,ft_transformer-s42,PGD,42,3200,2941,1515,2903,0,0,0,0.0,0.0,0.0
cicids2018_distrinet,ft_transformer-s42,PGD,2024,3200,2931,1452,2897,0,0,0,0.0,0.0,0.0
cicids2018_distrinet,ft_transformer-s42,PGD,2026,3200,2931,1478,2897,0,0,0,0.0,0.0,0.0
cicids2017_distrinet,mlp,C&W,42,3200,3198,3179,3197,0,0,0,0.0,0.0,0.0
cicids2017_distrinet,mlp,C&W,2024,3200,3198,3179,3197,0,0,0,0.0,0.0,0.0
cicids2017_distrinet,mlp,C&W,2026,3200,3198,3179,3197,0,0,0,0.0,0.0,0.0
cicids2017_distrinet,cnn,C&W,42,3200,3057,2200,3056,0,0,0,0.0,0.0,0.0
cicids2017_distrinet,cnn,C&W,2024,3200,3057,2200,3056,0,0,0,0.0,0.0,0.0
cicids2017_distrinet,cnn,C&W,2026,3200,3057,2200,3056,0,0,0,0.0,0.0,0.0
cicids2017_distrinet,ft_transformer,C&W,42,3200,2469,925,2468,0,0,0,0.0,0.0,0.0
cicids2017_distrinet,ft_transformer,C&W,2024,3200,2469,925,2468,0,0,0,0.0,0.0,0.0
cicids2017_distrinet,ft_transformer,C&W,2026,3200,2469,925,2468,0,0,0,0.0,0.0,0.0
cicids2018_distrinet,mlp-s42,C&W,42,3200,2804,883,2793,0,0,0,0.0,0.0,0.0
cicids2018_distrinet,mlp-s42,C&W,2024,3200,2804,883,2793,0,0,0,0.0,0.0,0.0
cicids2018_distrinet,mlp-s42,C&W,2026,3200,2804,883,2793,0,0,0,0.0,0.0,0.0
cicids2018_distrinet,cnn-s42,C&W,42,3200,3173,1905,3161,0,0,0,0.0,0.0,0.0
cicids2018_distrinet,cnn-s42,C&W,2024,3200,3173,1905,3161,0,0,0,0.0,0.0,0.0
cicids2018_distrinet,cnn-s42,C&W,2026,3200,3173,1905,3161,0,0,0,0.0,0.0,0.0
cicids2018_distrinet,ft_transformer-s42,C&W,42,3200,1715,834,1704,0,0,0,0.0,0.0,0.0
cicids2018_distrinet,ft_transformer-s42,C&W,2024,3200,1715,834,1704,0,0,0,0.0,0.0,0.0
cicids2018_distrinet,ft_transformer-s42,C&W,2026,3200,1715,834,1704,0,0,0,0.0,0.0,0.0
cicids2017_distrinet,mlp,CAPGD-PrimSupport,42,3200,3027,484,484,65,70,5,0.0203125,0.021875,-0.15624999999999978
cicids2017_distrinet,mlp,CAPGD-PrimSupport,2024,3200,3040,406,406,61,67,6,0.0190625,0.0209375,-0.18750000000000017
cicids2017_distrinet,mlp,CAPGD-PrimSupport,2026,3200,2996,471,471,67,72,5,0.0209375,0.0225,-0.15624999999999978
cicids2017_distrinet,cnn,CAPGD-PrimSupport,42,3200,3121,337,337,166,168,2,0.051875,0.0525,-0.06250000000000006
cicids2017_distrinet,cnn,CAPGD-PrimSupport,2024,3200,3093,337,337,166,168,2,0.051875,0.0525,-0.06250000000000006
cicids2017_distrinet,cnn,CAPGD-PrimSupport,2026,3200,3053,350,350,162,164,2,0.050625,0.05125,-0.06249999999999936
cicids2017_distrinet,ft_transformer,CAPGD-PrimSupport,42,3200,1658,275,275,5,5,0,0.0015625,0.0015625,0.0
cicids2017_distrinet,ft_transformer,CAPGD-PrimSupport,2024,3200,1815,339,339,6,6,0,0.001875,0.001875,0.0
cicids2017_distrinet,ft_transformer,CAPGD-PrimSupport,2026,3200,1539,249,249,6,6,0,0.001875,0.001875,0.0
cicids2018_distrinet,mlp-s42,CAPGD-PrimSupport,42,3200,2961,459,459,4,4,0,0.00125,0.00125,0.0
cicids2018_distrinet,mlp-s42,CAPGD-PrimSupport,2024,3200,2911,486,486,4,4,0,0.00125,0.00125,0.0
cicids2018_distrinet,mlp-s42,CAPGD-PrimSupport,2026,3200,2919,436,436,5,5,0,0.0015625,0.0015625,0.0
cicids2018_distrinet,cnn-s42,CAPGD-PrimSupport,42,3200,2455,544,544,7,7,0,0.0021875,0.0021875,0.0
cicids2018_distrinet,cnn-s42,CAPGD-PrimSupport,2024,3200,2371,682,682,10,10,0,0.003125,0.003125,0.0
cicids2018_distrinet,cnn-s42,CAPGD-PrimSupport,2026,3200,2471,605,605,11,11,0,0.0034375,0.0034375,0.0
cicids2018_distrinet,ft_transformer-s42,CAPGD-PrimSupport,42,3200,335,207,207,0,0,0,0.0,0.0,0.0
cicids2018_distrinet,ft_transformer-s42,CAPGD-PrimSupport,2024,3200,310,172,172,0,0,0,0.0,0.0,0.0
cicids2018_distrinet,ft_transformer-s42,CAPGD-PrimSupport,2026,3200,290,146,146,0,0,0,0.0,0.0,0.0
cicids2017_distrinet,mlp,C-PGD-PrimSupport,42,3200,1645,877,877,0,0,0,0.0,0.0,0.0
cicids2017_distrinet,mlp,C-PGD-PrimSupport,2024,3200,1679,768,768,0,0,0,0.0,0.0,0.0
cicids2017_distrinet,mlp,C-PGD-PrimSupport,2026,3200,1553,723,723,0,0,0,0.0,0.0,0.0
cicids2017_distrinet,cnn,C-PGD-PrimSupport,42,3200,2032,1116,1116,0,0,0,0.0,0.0,0.0
cicids2017_distrinet,cnn,C-PGD-PrimSupport,2024,3200,1926,1002,1002,0,0,0,0.0,0.0,0.0
cicids2017_distrinet,cnn,C-PGD-PrimSupport,2026,3200,1842,903,903,0,0,0,0.0,0.0,0.0
cicids2017_distrinet,ft_transformer,C-PGD-PrimSupport,42,3200,686,354,354,0,0,0,0.0,0.0,0.0
cicids2017_distrinet,ft_transformer,C-PGD-PrimSupport,2024,3200,703,327,327,0,0,0,0.0,0.0,0.0
cicids2017_distrinet,ft_transformer,C-PGD-PrimSupport,2026,3200,686,320,320,0,0,0,0.0,0.0,0.0
cicids2018_distrinet,mlp-s42,C-PGD-PrimSupport,42,3200,885,424,424,0,0,0,0.0,0.0,0.0
cicids2018_distrinet,mlp-s42,C-PGD-PrimSupport,2024,3200,913,444,444,0,0,0,0.0,0.0,0.0
cicids2018_distrinet,mlp-s42,C-PGD-PrimSupport,2026,3200,914,382,382,0,0,0,0.0,0.0,0.0
cicids2018_distrinet,cnn-s42,C-PGD-PrimSupport,42,3200,1531,877,877,0,0,0,0.0,0.0,0.0
cicids2018_distrinet,cnn-s42,C-PGD-PrimSupport,2024,3200,1586,731,731,0,0,0,0.0,0.0,0.0
cicids2018_distrinet,cnn-s42,C-PGD-PrimSupport,2026,3200,1735,828,828,0,0,0,0.0,0.0,0.0
cicids2018_distrinet,ft_transformer-s42,C-PGD-PrimSupport,42,3200,39,32,32,0,0,0,0.0,0.0,0.0
cicids2018_distrinet,ft_transformer-s42,C-PGD-PrimSupport,2024,3200,53,38,38,0,0,0,0.0,0.0,0.0
cicids2018_distrinet,ft_transformer-s42,C-PGD-PrimSupport,2026,3200,66,64,64,0,0,0,0.0,0.0,0.0
cicids2017_distrinet,mlp,CAPGD (native),42,3200,3030,476,476,309,352,43,0.0965625,0.11,-1.3437500000000004
cicids2017_distrinet,mlp,CAPGD (native),2024,3200,3056,389,389,330,371,41,0.103125,0.1159375,-1.2812500000000004
cicids2017_distrinet,mlp,CAPGD (native),2026,3200,3000,477,477,276,323,47,0.08625,0.1009375,-1.4687500000000007
cicids2017_distrinet,cnn,CAPGD (native),42,3200,3121,356,356,612,703,91,0.19125,0.2196875,-2.8437500000000004
cicids2017_distrinet,cnn,CAPGD (native),2024,3200,3073,343,343,615,708,93,0.1921875,0.22125,-2.906249999999999
cicids2017_distrinet,cnn,CAPGD (native),2026,3200,3046,340,340,620,696,76,0.19375,0.2175,-2.374999999999999
cicids2017_distrinet,ft_transformer,CAPGD (native),42,3200,1582,215,215,146,159,13,0.045625,0.0496875,-0.40625000000000033
cicids2017_distrinet,ft_transformer,CAPGD (native),2024,3200,1742,335,335,188,194,6,0.05875,0.060625,-0.18750000000000017
cicids2017_distrinet,ft_transformer,CAPGD (native),2026,3200,1535,246,246,214,224,10,0.066875,0.07,-0.3125000000000003
cicids2018_distrinet,mlp-s42,CAPGD (native),42,3200,2592,554,554,901,901,0,0.2815625,0.2815625,0.0
cicids2018_distrinet,mlp-s42,CAPGD (native),2024,3200,2549,573,573,878,878,0,0.274375,0.274375,0.0
cicids2018_distrinet,mlp-s42,CAPGD (native),2026,3200,2579,557,557,949,949,0,0.2965625,0.2965625,0.0
cicids2018_distrinet,cnn-s42,CAPGD (native),42,3200,2133,538,538,485,485,0,0.1515625,0.1515625,0.0
cicids2018_distrinet,cnn-s42,CAPGD (native),2024,3200,2082,653,653,442,442,0,0.138125,0.138125,0.0
cicids2018_distrinet,cnn-s42,CAPGD (native),2026,3200,2163,537,537,638,638,0,0.199375,0.199375,0.0
cicids2018_distrinet,ft_transformer-s42,CAPGD (native),42,3200,210,144,144,7,7,0,0.0021875,0.0021875,0.0
cicids2018_distrinet,ft_transformer-s42,CAPGD (native),2024,3200,184,106,106,5,5,0,0.0015625,0.0015625,0.0
cicids2018_distrinet,ft_transformer-s42,CAPGD (native),2026,3200,178,108,108,31,31,0,0.0096875,0.0096875,0.0
