dataset,victim,method,n_valid_successes_mean,median_p_bytes_valid,median_delay_us_valid,median_normalized_cost_valid,share_valid_using_padding,share_valid_using_timing,median_p_hi_bytes,median_delay_hi_us,share_no_headroom
cicids2017_distrinet,mlp,"PrimAttack (Prim-PGD, p75)",131.0,0.0,1262353.0,0.6166668732961019,0.0,1.0,0.0,892452.3125,0.2615625
cicids2017_distrinet,cnn,"PrimAttack (Prim-PGD, p75)",431.0,0.0,1003291.3333333334,0.6399857401847839,0.0,1.0,0.0,908010.75,0.2615625
cicids2017_distrinet,ft_transformer,"PrimAttack (Prim-PGD, p75)",4.0,0.0,5360.166666666667,0.26530789335568744,0.0,1.0,0.0,843449.46875,0.26125
cicids2018_distrinet,mlp-s42,"PrimAttack (Prim-PGD, p75)",81.0,0.0,502226.3333333333,0.6079374154408773,0.0,1.0,0.0,30538.9140625,0.2503125
cicids2018_distrinet,cnn-s42,"PrimAttack (Prim-PGD, p75)",37.0,0.0,124711.66666666667,0.8478819529215494,0.0,1.0,0.0,30532.185546875,0.250625
cicids2018_distrinet,ft_transformer-s42,"PrimAttack (Prim-PGD, p75)",0.0,,,,,,0.0,30538.9140625,0.2503125
cicids2017_distrinet,mlp,"PrimAttack (Prim-PGD, unbounded)",735.0,0.0,5149682.333333333,0.30000001192092896,0.0,1.0,0.0,11603098.0,0.2615625
cicids2017_distrinet,cnn,"PrimAttack (Prim-PGD, unbounded)",1918.0,0.0,8006382.0,0.39681268731753033,0.0,1.0,0.0,11603098.0,0.2615625
cicids2017_distrinet,ft_transformer,"PrimAttack (Prim-PGD, unbounded)",19.0,0.0,2874359.3333333335,0.05000000322858492,0.0,1.0,0.0,11668959.0,0.26125
cicids2018_distrinet,mlp-s42,"PrimAttack (Prim-PGD, unbounded)",1418.3333333333333,0.0,43881383.333333336,0.40000003576278687,0.0,1.0,0.0,9508830.0,0.2503125
cicids2018_distrinet,cnn-s42,"PrimAttack (Prim-PGD, unbounded)",841.0,0.0,11684447.666666666,0.10000000149011612,0.0,1.0,0.0,9508830.0,0.250625
cicids2018_distrinet,ft_transformer-s42,"PrimAttack (Prim-PGD, unbounded)",4.0,0.0,3599891.5,0.07499999739229679,0.0,1.0,0.0,9508830.0,0.2503125
