scope,dataset,victim,condition,method,objective,budget,source_class,seed,n,raw_successes,valid_successes,validator_passes,raw_asr,valid_asr,validity_gap_pp,validator_pass_rate,raw_targeted_benign_successes,valid_targeted_benign_successes,raw_targeted_benign_asr,valid_targeted_benign_asr,mean_model_evaluations,mean_l2_robust_scaled,mean_linf_robust_scaled,mean_l2_train_minmax,mean_features_modified,max_modified_outside_mask,median_primitive_cost_valid,median_p_valid,median_delay_valid,runtime_seconds,ms_per_flow
victim,cicids2017_distrinet,mlp,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,42,3200,74,74,3200,0.023125,0.023125,0.0,1.0,74,74,0.023125,0.023125,187.08625,2295.78253896519,2295.7516958003935,0.0132670982818778,8.115625,0,0.6675375998020172,0.0,1068206.5,10.00565530010499,3.1267672812828096
victim,cicids2017_distrinet,mlp,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,2024,3200,74,74,3200,0.023125,0.023125,0.0,1.0,74,74,0.023125,0.023125,187.08625,2297.215778352664,2297.185048022857,0.013259843207053191,8.1146875,0,0.700000137090683,0.0,1105966.5,10.033328299876302,3.1354150937113445
victim,cicids2017_distrinet,mlp,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,2026,3200,74,74,3200,0.023125,0.023125,0.0,1.0,74,74,0.023125,0.023125,187.08625,2295.9242676994113,2295.8935118532722,0.01326458242159227,8.1159375,0,0.7000002264976501,0.0,1067244.5,10.431139199994504,3.2597309999982826
victim,cicids2017_distrinet,cnn,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,42,3200,294,294,3200,0.091875,0.091875,0.0,1.0,294,294,0.091875,0.091875,187.08625,2070.5649660557856,2070.534606560008,0.0122914856439617,8.1665625,0,0.6241103410720825,0.0,1072797.5,9.415177599759772,2.942242999924929
victim,cicids2017_distrinet,cnn,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,2024,3200,294,294,3200,0.091875,0.091875,0.0,1.0,294,294,0.091875,0.091875,187.08625,2081.9795681690234,2081.9503729934454,0.012336711960923376,8.158125,0,0.6339108943939209,0.0,990052.5,9.444412199780345,2.951378812431358
victim,cicids2017_distrinet,cnn,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,2026,3200,294,294,3200,0.091875,0.091875,0.0,1.0,294,294,0.091875,0.091875,187.08625,2083.813763165544,2083.783294948052,0.012311094845652798,8.16375,0,0.6297899782657623,0.0,1090786.5,9.309080900158733,2.909087781299604
victim,cicids2017_distrinet,ft_transformer,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,42,3200,4,4,3200,0.00125,0.00125,0.0,1.0,4,4,0.00125,0.00125,187.165,2271.659088752565,2271.6337004368015,0.012859867696822163,8.0959375,0,0.37242670357227325,0.0,3453.5,43.12153049977496,13.475478281179676
victim,cicids2017_distrinet,ft_transformer,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,2024,3200,4,4,3200,0.00125,0.00125,0.0,1.0,4,4,0.00125,0.00125,187.165,2271.431411894546,2271.4060618935578,0.012858498665128006,8.095625,0,0.3635536730289459,0.0,3368.5,42.96433379990049,13.426354312468902
victim,cicids2017_distrinet,ft_transformer,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,2026,3200,4,4,3200,0.00125,0.00125,0.0,1.0,4,4,0.00125,0.00125,187.165,2271.301634572123,2271.276266035736,0.012858317706838642,8.0959375,0,0.37504827976226807,0.0,3660.0,43.83088879985735,13.697152749955421
victim,cicids2018_distrinet,mlp-s42,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,42,3200,22,22,3200,0.006875,0.006875,0.0,1.0,22,22,0.006875,0.006875,189.92125,276.13284926061056,276.027001948957,0.006328652534871132,6.648125,0,0.43810589611530304,0.0,2898425.0,10.989995200186968,3.4343735000584275
victim,cicids2018_distrinet,mlp-s42,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,2024,3200,22,22,3200,0.006875,0.006875,0.0,1.0,22,22,0.006875,0.006875,189.92125,268.3363076801697,268.23161439809974,0.006263218959228485,6.606875,0,0.41236233711242676,0.0,2738317.5,10.762266600271687,3.363208312584902
victim,cicids2018_distrinet,mlp-s42,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,2026,3200,22,22,3200,0.006875,0.006875,0.0,1.0,22,22,0.006875,0.006875,189.92125,275.4708424192698,275.3663650747419,0.006335268129229028,6.6115625,0,0.450000062584877,0.0,2897327.5,10.709394599776715,3.3466858124302235
victim,cicids2018_distrinet,cnn-s42,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,42,3200,0,0,3196,0.0,0.0,0.0,0.99875,0,0,0.0,0.0,189.8425,217.81224440442963,217.63662856747172,0.0039443691068434495,6.379375,0,,,,9.420674400171265,2.9439607500535203
victim,cicids2018_distrinet,cnn-s42,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,2024,3200,0,0,3197,0.0,0.0,0.0,0.9990625,0,0,0.0,0.0,189.8425,220.21318381076944,220.06926857145024,0.003892872984604114,6.3484375,0,,,,8.956570400157943,2.7989282500493573
victim,cicids2018_distrinet,cnn-s42,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,2026,3200,0,0,3197,0.0,0.0,0.0,0.9990625,0,0,0.0,0.0,189.8425,214.81594404310488,214.6730621282858,0.0037826405141133746,6.361875,0,,,,9.206973099848256,2.87717909370258
victim,cicids2018_distrinet,ft_transformer-s42,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,42,3200,0,0,3198,0.0,0.0,0.0,0.999375,0,0,0.0,0.0,189.92125,221.57521659925246,221.23747668856228,0.00448468673044837,7.7053125,0,,,,42.42456309963018,13.25767596863443
victim,cicids2018_distrinet,ft_transformer-s42,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,2024,3200,0,0,3198,0.0,0.0,0.0,0.999375,0,0,0.0,0.0,189.92125,225.66414792208784,225.31187526941738,0.004565067058982503,7.7265625,0,,,,42.37770299986005,13.243032187456265
victim,cicids2018_distrinet,ft_transformer-s42,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,2026,3200,0,0,3198,0.0,0.0,0.0,0.999375,0,0,0.0,0.0,189.92125,224.37445535673157,223.92756820523988,0.004831492171737967,7.72625,0,,,,42.62812820007093,13.321290062522166
victim,cicids2017_distrinet,mlp,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,42,3200,131,131,3200,0.0409375,0.0409375,0.0,1.0,131,131,0.0409375,0.0409375,187.08625,3420.7000328937256,3420.6329511898093,0.02092408612312929,8.128125,0,0.6000001430511475,0.0,1234476.0,9.400007800199091,2.937502437562216
