scope,dataset,victim,condition,method,objective,budget,source_class,n_per_seed,max_modified_outside_mask,raw_asr_mean,raw_asr_sd,raw_asr_seed42,raw_asr_seed2024,raw_asr_seed2026,valid_asr_mean,valid_asr_sd,valid_asr_seed42,valid_asr_seed2024,valid_asr_seed2026,validity_gap_pp_mean,validity_gap_pp_sd,validity_gap_pp_seed42,validity_gap_pp_seed2024,validity_gap_pp_seed2026,validator_pass_rate_mean,validator_pass_rate_sd,validator_pass_rate_seed42,validator_pass_rate_seed2024,validator_pass_rate_seed2026,raw_targeted_benign_asr_mean,raw_targeted_benign_asr_sd,raw_targeted_benign_asr_seed42,raw_targeted_benign_asr_seed2024,raw_targeted_benign_asr_seed2026,valid_targeted_benign_asr_mean,valid_targeted_benign_asr_sd,valid_targeted_benign_asr_seed42,valid_targeted_benign_asr_seed2024,valid_targeted_benign_asr_seed2026,mean_model_evaluations_mean,mean_model_evaluations_sd,mean_model_evaluations_seed42,mean_model_evaluations_seed2024,mean_model_evaluations_seed2026,mean_l2_robust_scaled_mean,mean_l2_robust_scaled_sd,mean_l2_robust_scaled_seed42,mean_l2_robust_scaled_seed2024,mean_l2_robust_scaled_seed2026,mean_linf_robust_scaled_mean,mean_linf_robust_scaled_sd,mean_linf_robust_scaled_seed42,mean_linf_robust_scaled_seed2024,mean_linf_robust_scaled_seed2026,mean_l2_train_minmax_mean,mean_l2_train_minmax_sd,mean_l2_train_minmax_seed42,mean_l2_train_minmax_seed2024,mean_l2_train_minmax_seed2026,mean_features_modified_mean,mean_features_modified_sd,mean_features_modified_seed42,mean_features_modified_seed2024,mean_features_modified_seed2026,median_primitive_cost_valid_mean,median_primitive_cost_valid_sd,median_primitive_cost_valid_seed42,median_primitive_cost_valid_seed2024,median_primitive_cost_valid_seed2026,ms_per_flow_mean,ms_per_flow_sd,ms_per_flow_seed42,ms_per_flow_seed2024,ms_per_flow_seed2026
victim,cicids2017_distrinet,mlp,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,3200,0,0.023124999999999996,4.2491873609703695e-18,0.023125,0.023125,0.023125,0.023124999999999996,4.2491873609703695e-18,0.023125,0.023125,0.023125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.023124999999999996,4.2491873609703695e-18,0.023125,0.023125,0.023125,0.023124999999999996,4.2491873609703695e-18,0.023125,0.023125,0.023125,187.08624999999998,3.4809342861069267e-14,187.08625,187.08625,187.08625,2296.307528339088,0.7897533310446809,2295.78253896519,2297.215778352664,2295.9242676994113,2296.276751892174,0.7897970270729722,2295.7516958003935,2297.185048022857,2295.8935118532722,0.013263841303507754,3.683879706107199e-06,0.0132670982818778,0.013259843207053191,0.01326458242159227,8.115416666666667,0.0006505206248325748,8.115625,8.1146875,8.1159375,0.6891793211301168,0.01874228045181104,0.6675375998020172,0.700000137090683,0.7000002264976501,3.173971124997479,0.07439598971090372,3.1267672812828096,3.1354150937113445,3.2597309999982826
victim,cicids2017_distrinet,cnn,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,3200,0,0.091875,0.0,0.091875,0.091875,0.091875,0.091875,0.0,0.091875,0.091875,0.091875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.091875,0.0,0.091875,0.091875,0.091875,0.091875,0.0,0.091875,0.091875,0.091875,187.08624999999998,3.4809342861069267e-14,187.08625,187.08625,187.08625,2078.786099130118,7.178533247866393,2070.5649660557856,2081.9795681690234,2083.813763165544,2078.756091500502,7.178754188088348,2070.534606560008,2081.9503729934454,2083.783294948052,0.012313097483512626,2.267956911578592e-05,0.0122914856439617,0.012336711960923376,0.012311094845652798,8.1628125,0.004296164714020875,8.1665625,8.158125,8.16375,0.6292704045772552,0.0049208920905554265,0.6241103410720825,0.6339108943939209,0.6297899782657623,2.9342365312186303,0.022253325243779737,2.942242999924929,2.951378812431358,2.909087781299604
victim,cicids2017_distrinet,ft_transformer,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,3200,0,0.00125,0.0,0.00125,0.00125,0.00125,0.00125,0.0,0.00125,0.00125,0.00125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.00125,0.0,0.00125,0.00125,0.00125,0.00125,0.0,0.00125,0.00125,0.00125,187.165,0.0,187.165,187.165,187.165,2271.464045073078,0.18094768866906522,2271.659088752565,2271.431411894546,2271.301634572123,2271.438676122032,0.1809353577675031,2271.6337004368015,2271.4060618935578,2271.276266035736,0.012858894689596272,8.474926382285712e-07,0.012859867696822163,0.012858498665128006,0.012858317706838642,8.095833333333333,0.00018042195912159397,8.0959375,8.095625,8.0959375,0.37034288545449573,0.006023970405755413,0.37242670357227325,0.3635536730289459,0.37504827976226807,13.532995114534666,0.14427088419246056,13.475478281179676,13.426354312468902,13.697152749955421
victim,cicids2018_distrinet,mlp-s42,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,3200,0,0.006875,0.0,0.006875,0.006875,0.006875,0.006875,0.0,0.006875,0.006875,0.006875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.006875,0.0,0.006875,0.006875,0.006875,0.006875,0.0,0.006875,0.006875,0.006875,189.92125,0.0,189.92125,189.92125,189.92125,273.3133331200167,4.322921458476734,276.13284926061056,268.3363076801697,275.4708424192698,273.2083271405995,4.3225990516023005,276.027001948957,268.23161439809974,275.3663650747419,0.006309046541109548,3.982545628082933e-05,0.006328652534871132,0.006263218959228485,0.006335268129229028,6.6221875,0.022584476831443663,6.648125,6.606875,6.6115625,0.4334894319375356,0.019238851338199487,0.43810589611530304,0.41236233711242676,0.450000062584877,3.3814225416911845,0.04659507749588441,3.4343735000584275,3.363208312584902,3.3466858124302235
victim,cicids2018_distrinet,cnn-s42,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,3200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9989583333333334,0.00018042195912172215,0.99875,0.9990625,0.9990625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.8425,0.0,189.8425,189.8425,189.8425,217.61379075276798,2.704087122544007,217.81224440442963,220.21318381076944,214.81594404310488,217.45965308906923,2.702452818141172,217.63662856747172,220.06926857145024,214.6730621282858,0.0038732942018536456,8.262282358467985e-05,0.0039443691068434495,0.003892872984604114,0.0037826405141133746,6.363229166666667,0.015513141270655768,6.379375,6.3484375,6.361875,,,,,,2.873356031268486,0.07259179271202511,2.9439607500535203,2.7989282500493573,2.87717909370258
victim,cicids2018_distrinet,ft_transformer-s42,prim_pgd_p50_targeted,Prim-PGD p50,targeted,p50,ALL,3200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999375,0.0,0.999375,0.999375,0.999375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.92125,0.0,189.92125,189.92125,189.92125,223.8712732926906,2.0903908684491173,221.57521659925246,225.66414792208784,224.37445535673157,223.4923067210732,2.071779517375767,221.23747668856228,225.31187526941738,223.92756820523988,0.0046270819870562795,0.0001815293144509032,0.00448468673044837,0.004565067058982503,0.004831492171737967,7.719374999999999,0.012179484543690876,7.7053125,7.7265625,7.72625,,,,,,13.273999406204288,0.0416042631593244,13.25767596863443,13.243032187456265,13.321290062522166
victim,cicids2017_distrinet,mlp,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,3200,0,0.0409375,0.0,0.0409375,0.0409375,0.0409375,0.0409375,0.0,0.0409375,0.0409375,0.0409375,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0409375,0.0,0.0409375,0.0409375,0.0409375,0.0409375,0.0,0.0409375,0.0409375,0.0409375,187.08624999999998,3.4809342861069267e-14,187.08625,187.08625,187.08625,3421.013292980428,0.6252418360217302,3420.7000328937256,3420.6066038939152,3421.733242153644,3420.9462677215524,0.6252638671170476,3420.6329511898093,3420.5396059480818,3421.666246026766,0.020914610385277744,1.260217354991348e-05,0.02092408612312929,0.02090030838689296,0.020919436645810988,8.131979166666667,0.003428017223312984,8.128125,8.133125,8.1346875,0.6166668732961019,0.028867520342094364,0.6000001430511475,0.600000262260437,0.6500002145767212,2.975689843757815,0.033106267239238575,2.937502437562216,2.996305531269172,2.9932615624420578
victim,cicids2017_distrinet,cnn,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,3200,0,0.1325,0.0,0.1325,0.1325,0.1325,0.1325,0.0,0.1325,0.1325,0.1325,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.1325,0.0,0.1325,0.1325,0.1325,0.1325,0.0,0.1325,0.1325,0.1325,187.08624999999998,3.4809342861069267e-14,187.08625,187.08625,187.08625,3119.8850261852895,12.326617886544259,3105.919868897411,3124.48510719765,3129.250102460808,3119.818392426527,12.326264681784057,3105.853653198241,3124.4182539672606,3129.1832701140806,0.01953617941896198,5.18725752026276e-05,0.01948217413219282,0.019585617209078594,0.01954074691561452,8.198333333333332,0.002217062151437442,8.2003125,8.19875,8.1959375,0.6458012561003367,0.009937111155839878,0.6344540119171143,0.6529500782489777,0.6499996781349182,3.2188537915499182,0.022865881566598172,3.237560343623045,3.1933636873873184,3.2256373436393915
victim,cicids2017_distrinet,ft_transformer,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,3200,0,0.00125,0.0,0.00125,0.00125,0.00125,0.00125,0.0,0.00125,0.00125,0.00125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.00125,0.0,0.00125,0.00125,0.00125,0.00125,0.0,0.00125,0.00125,0.00125,187.165,0.0,187.165,187.165,187.165,3273.088859396986,1.8355009465925027,3275.0229201399184,3272.8725756584986,3271.3710823925417,3273.0283109454954,1.834865384732626,3274.961823235546,3272.811807190174,3271.3113024107656,0.019689956497812293,6.1471803944495475e-06,0.019695072727675705,0.019683137400506714,0.01969165936525446,8.105312499999998,0.001900863290718071,8.1065625,8.10625,8.103125,0.26530789335568744,0.014670251044823696,0.27245138585567474,0.24843411147594452,0.2750381827354431,13.501597968740194,0.11075345836274067,13.446807406216976,13.629067343717907,13.428919156285701
victim,cicids2018_distrinet,mlp-s42,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,3200,0,0.0078125,0.0,0.0078125,0.0078125,0.0078125,0.0078125,0.0,0.0078125,0.0078125,0.0078125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0078125,0.0,0.0078125,0.0078125,0.0078125,0.0078125,0.0,0.0078125,0.0078125,0.0078125,189.92125,0.0,189.92125,189.92125,189.92125,350.2895907228531,4.360581595819799,353.12662695631553,345.2685608557846,352.4735843564592,350.1497305965358,4.359888650368973,352.98582753070906,345.1294543911466,352.3339098677516,0.008244551572784817,3.629431403980542e-05,0.008261028359992477,0.008202941576820522,0.008269684781541458,6.640833333333333,0.02955452676128223,6.6421875,6.610625,6.6696875,0.4528418680032094,0.00492220298947672,0.45852553844451904,0.44999995827674866,0.4500001072883606,3.0679967082930184,0.058951235650942874,3.1347764999372885,3.046034531216719,3.023179093725048
victim,cicids2018_distrinet,cnn-s42,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,3200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9989583333333334,0.00018042195912172215,0.99875,0.9990625,0.9990625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.8425,0.0,189.8425,189.8425,189.8425,284.6748504797186,3.11184240390869,286.8450981138313,281.10958915604385,286.0698641692807,284.4762264174358,3.1000415265097208,286.62394530386837,280.9222994036218,285.8824345448172,0.005552159883010114,0.00012552057325063972,0.005680997783534256,0.00543024301234593,0.005545238853150155,6.461458333333334,0.009459686944256241,6.4528125,6.4715625,6.46,,,,,,2.9260608332939833,0.04381779199655536,2.938135093645542,2.8774718750355532,2.962575531200855
victim,cicids2018_distrinet,ft_transformer-s42,prim_pgd_p75_targeted,Prim-PGD p75,targeted,p75,ALL,3200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999375,0.0,0.999375,0.999375,0.999375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.92125,0.0,189.92125,189.92125,189.92125,246.2127627167155,0.8419305832331467,245.6254232710519,247.1773433044608,245.83552157463382,245.7546852214667,0.8677987591355917,245.2014414417368,246.75485094310682,245.30776327955647,0.00544553686267677,0.00017243924054801663,0.005340662629128248,0.005351391790785477,0.005644556168116586,7.869583333333334,0.011045596784843218,7.876875,7.875,7.856875,,,,,,13.393268000072567,0.021572593074719162,13.369067062521935,13.400258406400098,13.410478531295666
victim,cicids2017_distrinet,mlp,prim_pgd_unbounded_targeted,Prim-PGD unbounded,targeted,unbounded,ALL,3200,0,0.229375,0.0,0.229375,0.229375,0.229375,0.229375,0.0,0.229375,0.229375,0.229375,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.229375,0.0,0.229375,0.229375,0.229375,0.229375,0.0,0.229375,0.229375,0.229375,187.08624999999998,3.4809342861069267e-14,187.08625,187.08625,187.08625,27270.87792230146,441.33999428969855,27248.112225734316,26841.36136839164,27723.160172778425,27270.87289923534,441.3399220809359,27248.107226680993,26841.35640467012,27723.155066354902,0.19777353243952867,0.0037236460904214873,0.19774686213221074,0.194063293137407,0.20151044204896823,8.436041666666666,0.005379479722364535,8.4378125,8.43,8.4403125,0.30000001192092896,0.0,0.30000001192092896,0.30000001192092896,0.30000001192092896,3.330282229144359,0.0599188596485344,3.311589187505888,3.397319281139062,3.2819382187881274
