scope,dataset,victim,condition,method,objective,budget,source_class,n_per_seed,max_modified_outside_mask,raw_asr_mean,raw_asr_sd,raw_asr_seed42,raw_asr_seed2024,raw_asr_seed2026,valid_asr_mean,valid_asr_sd,valid_asr_seed42,valid_asr_seed2024,valid_asr_seed2026,validity_gap_pp_mean,validity_gap_pp_sd,validity_gap_pp_seed42,validity_gap_pp_seed2024,validity_gap_pp_seed2026,validator_pass_rate_mean,validator_pass_rate_sd,validator_pass_rate_seed42,validator_pass_rate_seed2024,validator_pass_rate_seed2026,raw_targeted_benign_asr_mean,raw_targeted_benign_asr_sd,raw_targeted_benign_asr_seed42,raw_targeted_benign_asr_seed2024,raw_targeted_benign_asr_seed2026,valid_targeted_benign_asr_mean,valid_targeted_benign_asr_sd,valid_targeted_benign_asr_seed42,valid_targeted_benign_asr_seed2024,valid_targeted_benign_asr_seed2026,mean_model_evaluations_mean,mean_model_evaluations_sd,mean_model_evaluations_seed42,mean_model_evaluations_seed2024,mean_model_evaluations_seed2026,mean_l2_robust_scaled_mean,mean_l2_robust_scaled_sd,mean_l2_robust_scaled_seed42,mean_l2_robust_scaled_seed2024,mean_l2_robust_scaled_seed2026,mean_linf_robust_scaled_mean,mean_linf_robust_scaled_sd,mean_linf_robust_scaled_seed42,mean_linf_robust_scaled_seed2024,mean_linf_robust_scaled_seed2026,mean_l2_train_minmax_mean,mean_l2_train_minmax_sd,mean_l2_train_minmax_seed42,mean_l2_train_minmax_seed2024,mean_l2_train_minmax_seed2026,mean_features_modified_mean,mean_features_modified_sd,mean_features_modified_seed42,mean_features_modified_seed2024,mean_features_modified_seed2026,median_primitive_cost_valid_mean,median_primitive_cost_valid_sd,median_primitive_cost_valid_seed42,median_primitive_cost_valid_seed2024,median_primitive_cost_valid_seed2026,ms_per_flow_mean,ms_per_flow_sd,ms_per_flow_seed42,ms_per_flow_seed2024,ms_per_flow_seed2026
victim,cicids2017_distrinet,mlp,prim_pgd_p75_untargeted,"PrimAttack (Prim-PGD, p75)",untargeted,p75,ALL,3200,0,0.0409375,0.0,0.0409375,0.0409375,0.0409375,0.0409375,0.0,0.0409375,0.0409375,0.0409375,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0409375,0.0,0.0409375,0.0409375,0.0409375,0.0409375,0.0,0.0409375,0.0409375,0.0409375,187.08624999999998,3.4809342861069267e-14,187.08625,187.08625,187.08625,3417.90207691065,0.6252418360218441,3417.5888168239476,3417.4953878241377,3418.6220260838663,3417.8350516889436,0.6252638671170476,3417.5217351572005,3417.428389915473,3418.5550299941574,0.02089996104305322,1.260217354991348e-05,0.02090943678090476,0.020885659044668433,0.02090478730358646,8.128541666666665,0.003428017223312984,8.1246875,8.1296875,8.13125,0.6166668732961019,0.028867520342094364,0.6000001430511475,0.600000262260437,0.6500002145767212,7.068326562512084,0.08453330626839714,7.016550249973079,7.022553781280294,7.1658756562828785
victim,cicids2017_distrinet,cnn,prim_pgd_p75_untargeted,"PrimAttack (Prim-PGD, p75)",untargeted,p75,ALL,3200,0,0.1346875,0.0,0.1346875,0.1346875,0.1346875,0.1346875,0.0,0.1346875,0.1346875,0.1346875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.13208333333333333,0.00018042195912177023,0.1321875,0.1321875,0.131875,0.13208333333333333,0.00018042195912177023,0.1321875,0.1321875,0.131875,187.08624999999998,3.4809342861069267e-14,187.08625,187.08625,187.08625,3117.709109962079,13.024162653592567,3102.7157569317183,3124.191717195859,3126.219855758658,3117.643598239118,13.024395247407853,3102.649871597166,3124.1275486317004,3126.1533744884887,0.01952183945277897,5.7041895979030855e-05,0.01946220592255158,0.01957587727177863,0.019527435164006703,8.198854166666665,0.002953634766408201,8.2021875,8.1965625,8.1978125,0.6399857401847839,0.01487447336903387,0.6242687106132507,0.6538426876068115,0.6418458223342896,7.222938656268525,0.04065671556216197,7.237819375077379,7.254058531252667,7.176938062475529
victim,cicids2017_distrinet,ft_transformer,prim_pgd_p75_untargeted,"PrimAttack (Prim-PGD, p75)",untargeted,p75,ALL,3200,0,0.00125,0.0,0.00125,0.00125,0.00125,0.00125,0.0,0.00125,0.00125,0.00125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.00125,0.0,0.00125,0.00125,0.00125,0.00125,0.0,0.00125,0.00125,0.00125,187.165,0.0,187.165,187.165,187.165,2515.6708961791232,2.514281300459395,2514.269239460499,2518.5735713292434,2514.169877747627,2515.6192329029545,2.5162553092766524,2514.2148799845877,2518.524222436815,2514.11859628746,0.017194682156669465,0.0001250314435933213,0.01727252574640652,0.017261060616025066,0.017050460107576805,7.166041666666666,0.026973535448348993,7.190625,7.1703125,7.1371875,0.26530789335568744,0.014670251044823696,0.27245138585567474,0.24843411147594452,0.2750381827354431,13.846237854183224,0.06847755796189686,13.885771125060273,13.885775656308397,13.767166781181004
victim,cicids2018_distrinet,mlp-s42,prim_pgd_p75_untargeted,"PrimAttack (Prim-PGD, p75)",untargeted,p75,ALL,3200,0,0.0253125,0.0,0.0253125,0.0253125,0.0253125,0.0253125,0.0,0.0253125,0.0253125,0.0253125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0078125,0.0,0.0078125,0.0078125,0.0078125,0.0078125,0.0,0.0078125,0.0078125,0.0078125,189.92125,0.0,189.92125,189.92125,189.92125,353.04578498463803,4.409542530939486,355.8516921344472,347.96326225939106,355.3224005600759,352.9289134148889,4.408116807401047,355.73392374667304,347.8480347542807,355.20478174371283,0.008213592937826506,4.5230873206587575e-05,0.008232236102643677,0.008162020246613177,0.008246522464222663,6.601145833333334,0.030162860890229556,6.601875,6.570625,6.6309375,0.6079374154408773,0.013748172011949288,0.6000003218650818,0.5999994874000549,0.6238124370574951,2.966072041648052,0.07932583530034355,3.0511714686872438,2.894176906265784,2.952867749991128
victim,cicids2018_distrinet,cnn-s42,prim_pgd_p75_untargeted,"PrimAttack (Prim-PGD, p75)",untargeted,p75,ALL,3200,0,0.011562499999999998,2.1245936804851847e-18,0.0115625,0.0115625,0.0115625,0.011562499999999998,2.1245936804851847e-18,0.0115625,0.0115625,0.0115625,0.0,0.0,0.0,0.0,0.0,0.9989583333333334,0.00018042195912172215,0.99875,0.9990625,0.9990625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.8425,0.0,189.8425,189.8425,189.8425,281.10543777246886,3.045533917032196,283.14963394827544,277.60519050909073,282.5614888600405,280.89347769229215,3.0338571881474152,282.9148791438788,277.40492677596745,282.36062715703014,0.005532038762503206,0.0001247666912475231,0.005658984119099977,0.0054095712999121075,0.005527560868497533,6.575729166666666,0.008616919524014154,6.5675,6.5846875,6.575,0.8478819529215494,0.034794604448529144,0.8690468072891235,0.8077241778373718,0.8668748736381531,2.832274947916934,0.09322962505751452,2.92919271865685,2.7432331563613843,2.8243989687325666
victim,cicids2018_distrinet,ft_transformer-s42,prim_pgd_p75_untargeted,"PrimAttack (Prim-PGD, p75)",untargeted,p75,ALL,3200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999375,0.0,0.999375,0.999375,0.999375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.92125,0.0,189.92125,189.92125,189.92125,247.3859949438006,0.8425064742135705,246.78503458059305,248.34900975882505,247.0239404919837,246.93189482250833,0.8674902830452627,246.36498014286187,247.930541088895,246.50016323576816,0.005443798943982591,0.0001730911468924542,0.005338883689032396,0.0053489299374379125,0.005643583205477464,7.797708333333333,0.0020090939085402135,7.8,7.79625,7.796875,,,,,,13.040069895844985,0.06419450889906278,13.092486781315529,13.059251843733364,12.96847106248606
victim,cicids2017_distrinet,mlp,pgd_untargeted,PGD,untargeted,native,ALL,3200,56,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.9295833333333334,0.004018187817080376,0.93125,0.9325,0.925,0.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0,40.0,40.0,4.379267632951019,0.0009047962163026022,4.3789960719030825,4.380277110871669,4.378529716078305,0.5000182568009027,1.916674754418433e-06,0.5000171493541283,0.5000204699860539,0.5000171510625263,1.213338698501641,0.0005690227873373849,1.2131604728408796,1.2139755006991761,1.2128801219648677,78.42645833333334,0.0096437182706329,78.4196875,78.4375,78.4221875,,,,,,0.042289052119789027,0.0071567560630288775,0.050540843803901225,0.037775718737975694,0.03855059381749015
victim,cicids2017_distrinet,cnn,pgd_untargeted,PGD,untargeted,native,ALL,3200,56,0.96125,0.00093749999999998,0.9621875,0.96125,0.9603125,0.0,0.0,0.0,0.0,0.0,96.125,0.09375,96.21875,96.125,96.03125,0.0,0.0,0.0,0.0,0.0,0.8185416666666666,0.002127143526735616,0.8178125,0.816875,0.8209375,0.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0,40.0,40.0,4.009831988335277,0.0014425491988031688,4.009496241111652,4.00858692049666,4.011412803397517,0.5000182069429123,1.9140720564501894e-06,0.5000171016811531,0.5000204171229374,0.5000171020246462,1.1201299977409904,0.0010016386652333782,1.1192662731100638,1.1198957032902654,1.121228016822642,78.41760416666666,0.009107288747663525,78.4090625,78.4271875,78.4165625,,,,,,1.5439782916655531,0.01456129498910645,1.5606795000348939,1.5339443749689963,1.5373109999927692
victim,cicids2017_distrinet,ft_transformer,pgd_untargeted,PGD,untargeted,native,ALL,3200,56,0.9736458333333333,0.0028182810955143063,0.9734375,0.9765625,0.9709375,0.0,0.0,0.0,0.0,0.0,97.36458333333333,0.2818281095514309,97.34375,97.65625,97.09375,0.0,0.0,0.0,0.0,0.0,0.8780208333333333,0.006110420573359392,0.87125,0.883125,0.8796875,0.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0,40.0,40.0,4.1439736566686465,0.0028236181301029353,4.141026071437472,4.1466543566225855,4.144240541945883,0.5000182335760526,1.9168826025246937e-06,0.5000171294405481,0.5000204469994268,0.5000171242881829,1.1441638924475948,0.0005673147508320994,1.14432699489706,1.1446317902375538,1.1435328922081707,78.41875,0.009762812094890815,78.41375,78.43,78.4125,,,,,,3.8818746041700556,0.031809901511856475,3.9180903438682435,3.8584577812434873,3.8690756873984355
victim,cicids2018_distrinet,mlp-s42,pgd_untargeted,PGD,untargeted,native,ALL,3200,56,0.9434374999999999,0.0025000000000000022,0.9434375,0.9409375,0.9459375,0.0,0.0,0.0,0.0,0.0,94.34375,0.25,94.34375,94.09375,94.59375,0.0,0.0,0.0,0.0,0.0,0.695625,0.005029211543572244,0.69,0.6996875,0.6971875,0.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0,40.0,40.0,4.34072744138388,0.0006917287200247287,4.3400360841302525,4.3407266990485684,4.341419540972819,0.5000028567901963,9.787682140907005e-09,0.5000028455142196,0.500002863089988,0.5000028617663813,0.8809185247715504,0.0009708890301700052,0.879915355514446,0.881853542313141,0.8809866764870642,78.75354166666666,0.009633586537907341,78.7459375,78.7503125,78.764375,,,,,,0.04265265624174693,0.009535135221433923,0.05366287499782629,0.03715831247973256,0.03713678124768194
