dataset,victim,method,n_valid_successes_mean,median_p_bytes_valid,median_delay_us_valid,median_normalized_cost_valid,share_valid_using_padding,share_valid_using_timing,median_p_hi_bytes,median_delay_hi_us,share_no_headroom
cicids2017_distrinet,mlp,"PrimAttack (Hybrid Search, p75)",354.0,27.166666666666668,312979.1666666667,1.4000004728635151,0.9868173258003766,0.9717514124293786,10.0,892452.3125,0.24749999999999997
cicids2017_distrinet,cnn,"PrimAttack (Hybrid Search, p75)",1173.3333333333333,52.0,1355380.5,1.6077202359835308,0.9369361381312588,0.9897727206656163,10.0,908010.75,0.2478125
cicids2017_distrinet,ft_transformer,"PrimAttack (Hybrid Search, p75)",16.0,14.5,0.0,0.19230769574642181,0.9375,0.0625,10.0,843449.46875,0.24749999999999997
cicids2018_distrinet,mlp-s42,"PrimAttack (Hybrid Search, p75)",6.0,0.0,4116087.1666666665,0.9881603121757507,0.0,1.0,44.194435119628906,30538.9140625,0.220625
cicids2018_distrinet,cnn-s42,"PrimAttack (Hybrid Search, p75)",1.0,0.0,249002.66666666666,0.49206771949927014,0.0,1.0,44.89443588256836,30532.185546875,0.220625
cicids2018_distrinet,ft_transformer-s42,"PrimAttack (Hybrid Search, p75)",0.0,,,,,,44.194435119628906,30538.9140625,0.220625
cicids2017_distrinet,mlp,"PrimAttack (Hybrid Search, unbounded)",1533.0,52.0,658237.0,0.7692307829856873,0.9815177212437486,0.5675146771037182,78.0,11603098.0,0.24749999999999997
cicids2017_distrinet,cnn,"PrimAttack (Hybrid Search, unbounded)",2349.0,36.0,6383325.0,0.6752368211746216,0.9154250035476089,0.654320987654321,78.0,11603098.0,0.2478125
cicids2017_distrinet,ft_transformer,"PrimAttack (Hybrid Search, unbounded)",31.0,15.0,0.0,0.20000000298023224,0.7741935483870966,0.41935483870967744,78.0,11668959.0,0.24749999999999997
cicids2018_distrinet,mlp-s42,"PrimAttack (Hybrid Search, unbounded)",752.3333333333334,0.0,70099010.66666667,0.6000000834465027,0.0,1.0,44.194435119628906,9508830.0,0.220625
cicids2018_distrinet,cnn-s42,"PrimAttack (Hybrid Search, unbounded)",160.33333333333334,0.0,53526358.0,0.4745413859685262,0.0,1.0,44.89443588256836,9508830.0,0.220625
cicids2018_distrinet,ft_transformer-s42,"PrimAttack (Hybrid Search, unbounded)",3.0,0.0,14399175.0,0.30000001192092896,0.0,1.0,44.194435119628906,9508830.0,0.220625
