scope,dataset,victim,condition,method,objective,budget,source_class,seed,n,raw_successes,valid_successes,validator_passes,raw_asr,valid_asr,validity_gap_pp,validator_pass_rate,mean_model_evaluations,mean_l2_robust_scaled,mean_linf_robust_scaled,mean_l2_train_minmax,mean_features_modified,max_modified_outside_mask,median_primitive_cost_valid,median_p_valid,median_delay_valid,runtime_seconds,ms_per_flow
victim,cicids2017_distrinet,mlp,prim_hybrid_p50_targeted,Hybrid Search p50,targeted,p50,ALL,42,3200,202,202,3200,0.063125,0.063125,0.0,1.0,188.799375,2327.525597341712,2327.4807822776197,0.021872160852533438,14.9084375,0,1.5,23.5,364651.0,9.981589299859479,3.119246656206087
victim,cicids2017_distrinet,mlp,prim_hybrid_p50_targeted,Hybrid Search p50,targeted,p50,ALL,2024,3200,202,202,3200,0.063125,0.063125,0.0,1.0,188.799375,2322.0516670133347,2322.0069676333746,0.021761620810676306,14.9209375,0,1.4999997019767761,24.0,394649.5,10.177605800330639,3.1805018126033247
victim,cicids2017_distrinet,mlp,prim_hybrid_p50_targeted,Hybrid Search p50,targeted,p50,ALL,2026,3200,202,202,3200,0.063125,0.063125,0.0,1.0,188.799375,2324.0942409298673,2324.049702397434,0.021757074792049923,14.90625,0,1.500000774860382,21.5,406907.0,11.005485899979249,3.439214343743515
victim,cicids2017_distrinet,cnn,prim_hybrid_p50_targeted,Hybrid Search p50,targeted,p50,ALL,42,3200,418,418,3200,0.130625,0.130625,0.0,1.0,188.7059375,2084.0217972990963,2083.9735655184986,0.02101107018354368,14.788125,0,1.385982871055603,2.0,713807.5,9.211777900345623,2.8786805938580073
victim,cicids2017_distrinet,cnn,prim_hybrid_p50_targeted,Hybrid Search p50,targeted,p50,ALL,2024,3200,420,420,3200,0.13125,0.13125,0.0,1.0,188.7059375,2091.524912069925,2091.4763947611937,0.021120102855700606,14.81125,0,1.4306092858314514,2.0,680551.5,9.281739300116897,2.90054353128653
victim,cicids2017_distrinet,cnn,prim_hybrid_p50_targeted,Hybrid Search p50,targeted,p50,ALL,2026,3200,420,420,3200,0.13125,0.13125,0.0,1.0,188.7059375,2087.337887451109,2087.2894015165134,0.021137460485818126,14.794375,0,1.3986572623252869,2.0,670297.5,9.225835199933499,2.8830734999792185
victim,cicids2017_distrinet,ft_transformer,prim_hybrid_p50_targeted,Hybrid Search p50,targeted,p50,ALL,42,3200,5,5,3200,0.0015625,0.0015625,0.0,1.0,188.7721875,2283.2024921249986,2283.1578818717153,0.02236044307553345,14.9271875,0,0.20000000298023224,3.0,0.0,41.47755329986103,12.961735406206571
victim,cicids2017_distrinet,ft_transformer,prim_hybrid_p50_targeted,Hybrid Search p50,targeted,p50,ALL,2024,3200,5,5,3200,0.0015625,0.0015625,0.0,1.0,188.7721875,2283.261946464722,2283.2172871088474,0.02236108299591448,14.9296875,0,0.20000000298023224,3.0,0.0,41.411285899812356,12.941026843691361
victim,cicids2017_distrinet,ft_transformer,prim_hybrid_p50_targeted,Hybrid Search p50,targeted,p50,ALL,2026,3200,5,5,3200,0.0015625,0.0015625,0.0,1.0,188.7721875,2283.032681539494,2282.988135412795,0.022359890511291804,14.9278125,0,0.20000000298023224,3.0,0.0,42.03347729984671,13.135461656202096
victim,cicids2018_distrinet,mlp-s42,prim_hybrid_p50_targeted,Hybrid Search p50,targeted,p50,ALL,42,3200,35,5,2388,0.0109375,0.0015625,0.9375,0.74625,192.855,306.3935500782891,306.0444890310895,0.022413085777117092,8.7665625,0,0.9999999403953552,0.0,5954741.0,10.442389199975878,3.263246624992462
victim,cicids2018_distrinet,mlp-s42,prim_hybrid_p50_targeted,Hybrid Search p50,targeted,p50,ALL,2024,3200,35,6,2387,0.0109375,0.001875,0.9062499999999999,0.7459375,192.855,306.99803415653014,306.6505995317317,0.02243775176835978,8.7359375,0,0.9999999403953552,0.0,5931824.0,9.97576850024052,3.1174276563251624
victim,cicids2018_distrinet,mlp-s42,prim_hybrid_p50_targeted,Hybrid Search p50,targeted,p50,ALL,2026,3200,35,5,2383,0.0109375,0.0015625,0.9375,0.7446875,192.855,307.05029343424627,306.699840061058,0.0224920044911615,8.7571875,0,0.9999999403953552,0.0,5954741.0,10.410199000267312,3.253187187583535
