dataset,split,class,n_genuine,general_only_acceptance,hybrid_acceptance,hybrid_rejected
cicids2017_distrinet,val,Benign,247164,0.9996196857147481,0.9996196857147481,94
cicids2017_distrinet,val,DoS,25733,1.0,1.0,0
cicids2017_distrinet,val,DDoS,14265,1.0,1.0,0
cicids2017_distrinet,val,Recon,23853,1.0,1.0,0
cicids2017_distrinet,val,BruteForce,1043,1.0,1.0,0
cicids2017_distrinet,test,Benign,247164,1.0,1.0,0
cicids2017_distrinet,test,DoS,25733,1.0,1.0,0
cicids2017_distrinet,test,DDoS,14265,1.0,1.0,0
cicids2017_distrinet,test,Recon,23852,1.0,1.0,0
cicids2017_distrinet,test,BruteForce,1042,1.0,1.0,0
cicids2018_distrinet,val,Benign,37500,1.0,0.9987466666666667,47
cicids2018_distrinet,val,DoS,30000,1.0,0.9987666666666667,37
cicids2018_distrinet,val,DDoS,30000,1.0,1.0,0
cicids2018_distrinet,val,Recon,13403,1.0,1.0,0
cicids2018_distrinet,val,BruteForce,14130,1.0,1.0,0
cicids2018_distrinet,test,Benign,37500,1.0,0.9988533333333334,43
cicids2018_distrinet,test,DoS,30000,1.0,0.9987666666666667,37
cicids2018_distrinet,test,DDoS,30000,1.0,1.0,0
cicids2018_distrinet,test,Recon,13403,1.0,1.0,0
cicids2018_distrinet,test,BruteForce,14129,1.0,1.0,0
