;dataset;model;attack;success_rates;outliers_all;outliers_successful_attacks
adult_oh_MLP_noise;adult_oh;MLP;noise;[0.046, 0.044, 0.044, 0.046, 0.062, 0.1, 0.19, 0.226, 0.26, 0.286];[(55, 500), (55, 500), (55, 500), (55, 500), (55, 500), (164, 500), (262, 500), (348, 500), (399, 500), (409, 500)];[(3, 23), (3, 22), (3, 22), (3, 23), (4, 31), (20, 50), (61, 95), (89, 113), (111, 130), (126, 143)]
adult_oh_MLP_fgsm;adult_oh;MLP;fgsm;[0.046, 0.062, 0.094, 0.134, 0.958, 0.998, 0.998, 1.0, 1.0, 1.0];[(55, 500), (55, 500), (55, 500), (55, 500), (387, 500), (325, 500), (326, 500), (326, 500), (326, 500), (500, 500)];[(3, 23), (3, 31), (3, 47), (4, 67), (375, 479), (324, 499), (325, 499), (326, 500), (326, 500), (500, 500)]
adult_oh_MLP_pgd;adult_oh;MLP;pgd;[0.046, 0.062, 0.094, 0.134, 0.958, 0.998, 0.998, 1.0, 1.0, 1.0];[(55, 500), (55, 500), (55, 500), (55, 500), (387, 500), (325, 500), (326, 500), (326, 500), (326, 500), (500, 500)];[(3, 23), (3, 31), (3, 47), (4, 67), (375, 479), (324, 499), (325, 499), (326, 500), (326, 500), (500, 500)]
adult_oh_SoftDecisionTree_noise;adult_oh;SoftDecisionTree;noise;[0.048, 0.048, 0.05, 0.058, 0.046, 0.08, 0.146, 0.186, 0.188, 0.224];[(54, 500), (54, 500), (54, 500), (55, 500), (55, 500), (179, 500), (280, 500), (347, 500), (382, 500), (415, 500)];[(1, 24), (1, 24), (1, 25), (3, 29), (2, 23), (17, 40), (50, 73), (77, 93), (75, 94), (98, 112)]
adult_oh_SoftDecisionTree_fgsm;adult_oh;SoftDecisionTree;fgsm;[0.048, 0.066, 0.09, 0.134, 0.92, 0.998, 0.998, 0.998, 0.998, 1.0];[(54, 500), (54, 500), (54, 500), (54, 500), (453, 500), (450, 500), (450, 500), (450, 500), (450, 500), (500, 500)];[(1, 24), (2, 33), (5, 45), (6, 67), (413, 460), (449, 499), (449, 499), (449, 499), (449, 499), (500, 500)]
adult_oh_SoftDecisionTree_pgd;adult_oh;SoftDecisionTree;pgd;[0.048, 0.064, 0.088, 0.126, 0.818, 0.938, 0.94, 0.944, 0.95, 1.0];[(54, 500), (54, 500), (54, 500), (54, 500), (400, 500), (403, 500), (404, 500), (405, 500), (405, 500), (500, 500)];[(1, 24), (1, 32), (5, 44), (5, 63), (322, 409), (376, 469), (378, 470), (381, 472), (384, 475), (500, 500)]
adult_oh_TabTransformer_noise;adult_oh;TabTransformer;noise;[0.036, 0.038, 0.046, 0.044, 0.062, 0.1, 0.176, 0.218, 0.254, 0.282];[(49, 500), (49, 500), (49, 500), (49, 500), (49, 500), (163, 500), (289, 500), (331, 500), (377, 500), (410, 500)];[(3, 18), (3, 19), (3, 23), (3, 22), (5, 31), (22, 50), (57, 88), (84, 109), (106, 127), (126, 141)]
adult_oh_TabTransformer_fgsm;adult_oh;TabTransformer;fgsm;[0.042, 0.054, 0.094, 0.116, 0.802, 0.904, 0.912, 0.916, 0.926, 0.996];[(49, 500), (49, 500), (49, 500), (50, 500), (406, 500), (415, 500), (415, 500), (415, 500), (415, 500), (500, 500)];[(4, 21), (4, 27), (5, 47), (8, 58), (361, 401), (398, 452), (399, 456), (401, 458), (403, 463), (498, 498)]
adult_oh_TabTransformer_pgd;adult_oh;TabTransformer;pgd;[0.044, 0.054, 0.082, 0.112, 0.766, 1.0, 1.0, 1.0, 1.0, 1.0];[(49, 500), (49, 500), (49, 500), (49, 500), (349, 500), (499, 500), (500, 500), (500, 500), (500, 500), (500, 500)];[(4, 22), (4, 27), (4, 41), (6, 56), (316, 383), (499, 500), (500, 500), (500, 500), (500, 500), (500, 500)]
phishing_url_oh_MLP_noise;phishing_url_oh;MLP;noise;[0.032, 0.028, 0.026, 0.024, 0.028, 0.068, 0.138, 0.176, 0.204, 0.254];[(461, 500), (464, 500), (469, 500), (470, 500), (472, 500), (489, 500), (496, 500), (498, 500), (499, 500), (499, 500)];[(16, 16), (13, 14), (13, 13), (11, 12), (14, 14), (33, 34), (69, 69), (88, 88), (102, 102), (127, 127)]
